effectiveDate,mid
2019-10-03,3.9652
2019-10-04,3.9469
2019-10-07,3.9498
2019-10-08,3.9405
2019-10-09,3.9382
2019-10-10,3.9226
2019-10-11,3.9145
2019-10-14,3.8958
2019-10-15,3.8952
2019-10-16,3.8934
2019-10-17,3.8638
2019-10-18,3.8503
2019-10-21,3.8307
2019-10-22,3.8408
2019-10-23,3.8473
2019-10-24,3.8448
2019-10-25,3.8452
2019-10-28,3.8529
2019-10-29,3.8598
2019-10-30,3.8388
2019-10-31,3.8174
2019-11-04,3.8099
2019-11-05,3.8308
2019-11-06,3.8497
2019-11-07,3.8502
2019-11-08,3.8625
2019-11-12,3.878
2019-11-13,3.8902
2019-11-14,3.9011
2019-11-15,3.8848
2019-11-18,3.8767
2019-11-19,3.8786
2019-11-20,3.8792
2019-11-21,3.8737
2019-11-22,3.8853
2019-11-25,3.9036
2019-11-26,3.9039
2019-11-27,3.9154
2019-11-28,3.9252
2019-11-29,3.9288
2019-12-02,3.9047
2019-12-03,3.8706
2019-12-04,3.8647
2019-12-05,3.8566
2019-12-06,3.85
2019-12-09,3.8704
2019-12-10,3.8711
2019-12-11,3.866
2019-12-12,3.8505
2019-12-13,3.8234
2019-12-16,3.8311
2019-12-17,3.8211
2019-12-18,3.8302
2019-12-19,3.8281
2019-12-20,3.8311
2019-12-23,3.8394
2019-12-24,3.8487
2019-12-27,3.8266
2019-12-30,3.8027
2019-12-31,3.7977
2020-01-02,3.8
2020-01-03,3.8213
2020-01-07,3.7861
2020-01-08,3.8123
2020-01-09,3.8251
2020-01-10,3.8272
2020-01-13,3.8101
2020-01-14,3.8019
2020-01-15,3.7992
2020-01-16,3.7968
2020-01-17,3.8053
2020-01-20,3.8277
2020-01-21,3.8284
2020-01-22,3.8202
2020-01-23,3.8308
2020-01-24,3.8475
2020-01-27,3.8725
2020-01-28,3.8844
2020-01-29,3.8871
2020-01-30,3.8856
2020-01-31,3.8999
2020-02-03,3.8864
2020-02-04,3.8773
2020-02-05,3.8654
2020-02-06,3.8672
2020-02-07,3.8947
2020-02-10,3.8996
2020-02-11,3.9041
2020-02-12,3.901
2020-02-13,3.9104
2020-02-14,3.9098
2020-02-17,3.9189
2020-02-18,3.9448
2020-02-19,3.9556
2020-02-20,3.9621
2020-02-21,3.9623
2020-02-24,3.9772
2020-02-25,3.9624
2020-02-26,3.9573
2020-02-27,3.9413
2020-02-28,3.9255
2020-03-02,3.9023
2020-03-03,3.8804
2020-03-04,3.8536
2020-03-05,3.8479
2020-03-06,3.8231
2020-03-09,3.7899
2020-03-10,3.8058
2020-03-11,3.8186
2020-03-12,3.8642
2020-03-13,3.9067
2020-03-16,3.9231
2020-03-17,4.046
2020-03-18,4.0749
2020-03-19,4.2421
2020-03-20,4.24
2020-03-23,4.2654
2020-03-24,4.2421
2020-03-25,4.222
2020-03-26,4.1988
2020-03-27,4.1127
2020-03-30,4.0933
2020-03-31,4.1466
2020-04-01,4.1701
2020-04-02,4.1917
2020-04-03,4.2396
2020-04-06,4.2257
2020-04-07,4.1717
2020-04-08,4.1801
2020-04-09,4.1744
2020-04-10,4.1566
2020-04-14,4.1666
2020-04-15,4.1519
2020-04-16,4.1631
2020-04-17,4.1886
2020-04-20,4.1525
2020-04-21,4.1779
2020-04-22,4.1736
2020-04-23,4.2093
2020-04-24,4.2142
2020-04-27,4.1696
2020-04-28,4.184
2020-04-29,4.1807
2020-04-30,4.1729
2020-05-04,4.1646
2020-05-05,4.1927
2020-05-06,4.2022
2020-05-07,4.2162
2020-05-08,4.2065
2020-05-11,4.2126
