effectiveDate,mid
2010-01-04,4.0924
2010-01-05,4.0794
2010-01-06,4.095
2010-01-07,4.1109
2010-01-08,4.1084
2010-01-11,4.0595
2010-01-12,4.0814
2010-01-13,4.0615
2010-01-14,4.0534
2010-01-15,4.0339
2010-01-18,4.0312
2010-01-19,4.019
2010-01-20,4.0143
2010-01-21,4.0661
2010-01-22,4.0742
2010-01-25,4.0609
2010-01-26,4.0969
2010-01-27,4.0878
2010-01-28,4.063
2010-01-29,4.0616
2010-02-01,4.0035
2010-02-02,3.9849
2010-02-03,3.969
2010-02-04,4.025
2010-02-05,4.0921
2010-02-08,4.0916
2010-02-09,4.0779
2010-02-10,4.0595
2010-02-11,4.0548
2010-02-12,4.0035
2010-02-15,4.0227
2010-02-16,4.0168
2010-02-17,3.9878
2010-02-18,3.9855
2010-02-19,4.0031
2010-02-22,3.9711
2010-02-23,3.963
2010-02-24,4.0015
2010-02-25,3.9933
2010-02-26,3.9768
2010-03-01,3.9403
2010-03-02,3.9324
2010-03-03,3.927
2010-03-04,3.9141
2010-03-05,3.8848
2010-03-08,3.8774
2010-03-09,3.8837
2010-03-10,3.875
2010-03-11,3.9006
2010-03-12,3.8923
2010-03-15,3.901
2010-03-16,3.887
2010-03-17,3.8684
2010-03-18,3.8723
2010-03-19,3.8909
2010-03-22,3.9136
2010-03-23,3.8963
2010-03-24,3.8766
2010-03-25,3.8902
2010-03-26,3.8856
2010-03-29,3.8929
2010-03-30,3.8765
2010-03-31,3.8622
2010-04-01,3.8467
2010-04-02,3.8515
2010-04-06,3.8356
2010-04-07,3.8378
2010-04-08,3.8526
2010-04-09,3.8405
2010-04-12,3.8673
2010-04-13,3.8834
2010-04-14,3.8659
2010-04-15,3.8641
2010-04-16,3.8725
2010-04-19,3.901
2010-04-20,3.8958
2010-04-21,3.8662
2010-04-22,3.8653
2010-04-23,3.8804
2010-04-26,3.8766
2010-04-27,3.8965
2010-04-28,3.9514
2010-04-29,3.9175
2010-04-30,3.902
2010-05-04,3.931
2010-05-05,4.0215
2010-05-06,4.0773
2010-05-07,4.177
2010-05-10,3.9998
2010-05-11,4.0441
2010-05-12,3.99
2010-05-13,3.9591
2010-05-14,3.9852
2010-05-17,4.0244
2010-05-18,4.0038
2010-05-19,4.0898
2010-05-20,4.1157
2010-05-21,4.1428
2010-05-24,4.1067
2010-05-25,4.1735
2010-05-26,4.1366
2010-05-27,4.1004
2010-05-28,4.0479
2010-05-31,4.077
2010-06-01,4.1208
2010-06-02,4.1056
2010-06-04,4.0967
2010-06-07,4.1688
2010-06-08,4.1502
2010-06-09,4.123
2010-06-10,4.1338
2010-06-11,4.0909
2010-06-14,4.0838
2010-06-15,4.0765
2010-06-16,4.0653
2010-06-17,4.0811
2010-06-18,4.0732
2010-06-21,4.03
2010-06-22,4.0535
2010-06-23,4.0587
2010-06-24,4.0877
2010-06-25,4.1405
2010-06-28,4.1148
2010-06-29,4.1649
2010-06-30,4.1458
2010-07-01,4.1529
2010-07-02,4.1448
2010-07-05,4.117
2010-07-06,4.111
2010-07-07,4.1268
2010-07-08,4.0823
2010-07-09,4.0733
2010-07-12,4.0861
2010-07-13,4.0775
2010-07-14,4.0605
2010-07-15,4.06
2010-07-16,4.092
2010-07-19,4.1272
2010-07-20,4.1243
2010-07-21,4.1145
2010-07-22,4.1007
2010-07-23,4.0633
2010-07-26,4.0472
2010-07-27,4.0125
2010-07-28,4.0006
2010-07-29,3.9993
2010-07-30,4.008
2010-08-02,3.9852
2010-08-03,3.9875
2010-08-04,4.02
2010-08-05,3.986
2010-08-06,3.9881
2010-08-09,3.9871
2010-08-10,3.9727
2010-08-11,3.9992
2010-08-12,4.0134
2010-08-13,3.9941
2010-08-16,4.003
2010-08-17,3.9707
2010-08-18,3.9535
2010-08-19,3.9506
2010-08-20,3.9719
2010-08-23,3.985
2010-08-24,4.0104
2010-08-25,3.9946
2010-08-26,3.9927
2010-08-27,3.981
2010-08-30,3.9755
2010-08-31,4.0038
2010-09-01,3.9922
2010-09-02,3.9659
2010-09-03,3.9635
2010-09-06,3.9279
2010-09-07,3.9495
2010-09-08,3.9494
2010-09-09,3.9421
2010-09-10,3.9316
2010-09-13,3.9407
2010-09-14,3.9493
2010-09-15,3.9361
2010-09-16,3.9345
2010-09-17,3.9545
2010-09-20,3.9506
2010-09-21,3.9458
2010-09-22,3.9427
2010-09-23,3.9813
2010-09-24,3.9747
2010-09-27,3.9582
2010-09-28,3.9773
2010-09-29,3.971
2010-09-30,3.987
2010-10-01,3.9465
2010-10-04,3.9577
2010-10-05,3.9742
2010-10-06,3.9378
2010-10-07,3.9655
2010-10-08,3.986
2010-10-11,3.9754
2010-10-12,3.9711
2010-10-13,3.9587
2010-10-14,3.8992
2010-10-15,3.9074
2010-10-18,3.9254
2010-10-19,3.9317
2010-10-20,3.97
2010-10-21,3.9533
2010-10-22,3.9734
2010-10-25,3.9464
2010-10-26,3.9351
2010-10-27,3.9446
2010-10-28,3.9725
2010-10-29,3.9944
2010-11-02,3.9519
2010-11-03,3.9339
2010-11-04,3.9142
2010-11-05,3.919
2010-11-08,3.9258
2010-11-09,3.9334
2010-11-10,3.8964
2010-11-12,3.9377
2010-11-15,3.943
2010-11-16,3.9348
2010-11-17,3.951
2010-11-18,3.9386
2010-11-19,3.9381
2010-11-22,3.9292
2010-11-23,3.9443
2010-11-24,3.9695
2010-11-25,3.9747
2010-11-26,4.0248
2010-11-29,4.0278
2010-11-30,4.0734
2010-12-01,4.0205
2010-12-02,3.9928
2010-12-03,3.9968
2010-12-06,3.9974
2010-12-07,4.0078
2010-12-08,4.0415
2010-12-09,4.033
2010-12-10,4.0376
2010-12-13,4.024
2010-12-14,3.9911
2010-12-15,3.9877
2010-12-16,3.9896
2010-12-17,3.9837
2010-12-20,3.9998
2010-12-21,3.9944
2010-12-22,3.9909
2010-12-23,3.9735
2010-12-24,3.964
2010-12-27,3.9763
2010-12-28,3.984
2010-12-29,3.9913
2010-12-30,3.9704
2010-12-31,3.9603
