effectiveDate,mid
2015-01-02,2.9093
2015-01-05,2.9094
2015-01-07,2.9327
2015-01-08,2.9595
2015-01-09,2.9438
2015-01-12,2.9564
2015-01-13,2.9505
2015-01-14,2.971
2015-01-15,2.9968
2015-01-16,3.053
2015-01-19,3.0504
2015-01-20,3.0638
2015-01-21,3.0565
2015-01-22,2.9991
2015-01-23,2.9997
2015-01-26,2.9781
2015-01-27,2.9697
2015-01-28,2.9803
2015-01-29,2.9266
2015-01-30,2.8875
2015-02-02,2.8651
2015-02-03,2.8262
2015-02-04,2.839
2015-02-05,2.8632
2015-02-06,2.853
2015-02-09,2.8719
2015-02-10,2.8919
2015-02-11,2.8806
2015-02-12,2.8375
2015-02-13,2.8294
2015-02-16,2.8503
2015-02-17,2.8709
2015-02-18,2.8715
2015-02-19,2.8432
2015-02-20,2.8915
2015-02-23,2.8761
2015-02-24,2.8623
2015-02-25,2.8905
2015-02-26,2.8879
2015-02-27,2.893
2015-03-02,2.8858
2015-03-03,2.9056
2015-03-04,2.9369
2015-03-05,2.9326
2015-03-06,2.9382
2015-03-09,2.9305
2015-03-10,2.9222
2015-03-11,2.9776
2015-03-12,2.9854
2015-03-13,2.999
2015-03-16,2.9967
2015-03-17,2.9893
2015-03-18,2.9704
2015-03-19,2.9706
2015-03-20,2.9621
2015-03-23,2.9671
2015-03-24,2.9499
2015-03-25,2.9382
2015-03-26,2.9168
2015-03-27,2.9524
2015-03-30,2.8988
2015-03-31,2.8969
2015-04-01,2.8758
2015-04-02,2.8434
2015-04-03,2.8438
2015-04-07,2.8683
2015-04-08,2.8591
2015-04-09,2.8794
2015-04-10,2.9091
2015-04-13,2.8775
2015-04-14,2.8719
2015-04-15,2.8723
2015-04-16,2.9267
2015-04-17,2.912
2015-04-20,2.9087
2015-04-21,2.8792
2015-04-22,2.8946
2015-04-23,2.8903
2015-04-24,2.8741
2015-04-27,2.8997
2015-04-28,2.9028
2015-04-29,2.9067
2015-04-30,2.8578
2015-05-04,2.8441
2015-05-05,2.8508
2015-05-06,2.8815
2015-05-07,2.8467
2015-05-08,2.8556
2015-05-11,2.8846
2015-05-12,2.8991
2015-05-13,2.905
2015-05-14,2.8993
2015-05-15,2.8645
2015-05-18,2.8475
2015-05-19,2.8817
2015-05-20,2.8861
2015-05-21,2.8956
2015-05-22,2.8985
2015-05-25,2.9355
2015-05-26,2.9499
2015-05-27,2.9363
2015-05-28,2.9063
2015-05-29,2.8845
2015-06-01,2.8949
2015-06-01,2.8949
2015-06-02,2.8958
2015-06-03,2.8846
2015-06-05,2.8421
2015-06-08,2.853
2015-06-09,2.8353
2015-06-10,2.8535
2015-06-11,2.8523
2015-06-12,2.8516
2015-06-15,2.8485
2015-06-16,2.8543
2015-06-17,2.8332
2015-06-18,2.847
2015-06-19,2.8646
2015-06-22,2.8605
2015-06-23,2.8612
2015-06-24,2.8781
2015-06-25,2.8849
2015-06-26,2.8725
2015-06-29,2.8853
2015-06-30,2.8899
2015-07-01,2.9004
2015-07-02,2.8794
2015-07-03,2.845
2015-07-06,2.8474
2015-07-07,2.8509
2015-07-08,2.8285
2015-07-09,2.8537
2015-07-10,2.8098
2015-07-13,2.7882
2015-07-14,2.7952
2015-07-15,2.794
2015-07-16,2.7849
2015-07-17,2.7864
2015-07-20,2.7935
2015-07-21,2.7918
2015-07-22,2.7884
2015-07-23,2.7845
2015-07-24,2.748
2015-07-27,2.73
2015-07-28,2.7276
2015-07-29,2.7426
2015-07-30,2.7583
2015-07-31,2.7586
2015-08-03,2.7499
2015-08-04,2.7923
2015-08-05,2.8259
2015-08-06,2.8107
2015-08-07,2.825
2015-08-10,2.8174
2015-08-11,2.7947
2015-08-12,2.757
2015-08-13,2.7623
2015-08-14,2.775
2015-08-17,2.7702
2015-08-18,2.7605
2015-08-19,2.7742
2015-08-20,2.743
2015-08-21,2.734
2015-08-24,2.6771
2015-08-25,2.6325
2015-08-26,2.6338
2015-08-27,2.6715
2015-08-28,2.6876
2015-08-31,2.6949
2015-09-01,2.6563
