effectiveDate,mid
2015-01-02,2.2025
2015-01-05,2.1989
2015-01-07,2.2044
2015-01-08,2.1978
2015-01-09,2.1902
2015-01-12,2.1874
2015-01-13,2.1884
2015-01-14,2.1927
2015-01-15,2.1933
2015-01-16,2.2098
2015-01-19,2.207
2015-01-20,2.2157
2015-01-21,2.2097
2015-01-22,2.1984
2015-01-23,2.1655
2015-01-26,2.1624
2015-01-27,2.162
2015-01-28,2.1652
2015-01-29,2.165
2015-01-30,2.1515
2015-02-02,2.1353
2015-02-03,2.1378
2015-02-04,2.1327
2015-02-05,2.1341
2015-02-06,2.1318
2015-02-09,2.1351
2015-02-10,2.1483
2015-02-11,2.1474
2015-02-12,2.1415
2015-02-13,2.1363
2015-02-16,2.1378
2015-02-17,2.1426
2015-02-18,2.1425
2015-02-19,2.1356
2015-02-20,2.1372
2015-02-23,2.136
2015-02-24,2.1353
2015-02-25,2.1304
2015-02-26,2.124
2015-02-27,2.1216
2015-03-02,2.1249
2015-03-03,2.1248
2015-03-04,2.1333
2015-03-05,2.1175
2015-03-06,2.1112
2015-03-09,2.1095
2015-03-10,2.1082
2015-03-11,2.1186
2015-03-12,2.1092
2015-03-13,2.1233
2015-03-16,2.1154
2015-03-17,2.1166
2015-03-18,2.1193
2015-03-19,2.1081
2015-03-20,2.1093
2015-03-23,2.1109
2015-03-24,2.1009
2015-03-25,2.0925
2015-03-26,2.0904
2015-03-27,2.0959
2015-03-30,2.0932
2015-03-31,2.0907
2015-04-01,2.0791
2015-04-02,2.0779
2015-04-03,2.0834
2015-04-07,2.0766
2015-04-08,2.0625
2015-04-09,2.0553
2015-04-10,2.0553
2015-04-13,2.0553
2015-04-14,2.0497
2015-04-15,2.0494
2015-04-16,2.0523
2015-04-17,2.062
2015-04-20,2.0509
2015-04-21,2.0361
2015-04-22,2.0459
2015-04-23,2.049
2015-04-24,2.0534
2015-04-27,2.0561
2015-04-28,2.049
2015-04-29,2.0483
2015-04-30,2.0624
2015-05-04,2.0689
2015-05-05,2.0544
2015-05-06,2.0734
2015-05-07,2.0802
2015-05-08,2.0734
2015-05-11,2.0844
2015-05-12,2.0978
2015-05-13,2.0843
2015-05-14,2.0935
2015-05-15,2.0752
2015-05-18,2.0691
2015-05-19,2.0689
2015-05-20,2.0761
2015-05-21,2.0879
2015-05-22,2.0953
2015-05-25,2.1039
2015-05-26,2.1105
2015-05-27,2.117
2015-05-28,2.1177
2015-05-29,2.1117
2015-06-01,2.1096
2015-06-01,2.1096
2015-06-02,2.1154
2015-06-03,2.112
2015-06-05,2.127
2015-06-08,2.1249
2015-06-09,2.1323
2015-06-10,2.1271
2015-06-11,2.1209
2015-06-12,2.1179
2015-06-15,2.1211
2015-06-16,2.1267
2015-06-17,2.1236
2015-06-18,2.1277
2015-06-19,2.1328
2015-06-22,2.1333
2015-06-23,2.1288
2015-06-24,2.1291
2015-06-25,2.134
2015-06-26,2.1353
2015-06-29,2.142
2015-06-30,2.1445
2015-07-01,2.1435
2015-07-02,2.1441
2015-07-03,2.1421
2015-07-06,2.1469
2015-07-07,2.1487
2015-07-08,2.1583
2015-07-09,2.1616
2015-07-10,2.1425
2015-07-13,2.1245
2015-07-14,2.1241
2015-07-15,2.1126
2015-07-16,2.102
2015-07-17,2.0973
2015-07-20,2.1005
2015-07-21,2.1021
2015-07-22,2.1052
2015-07-23,2.1109
2015-07-24,2.1062
2015-07-27,2.1216
2015-07-28,2.1106
2015-07-29,2.1194
2015-07-30,2.1182
2015-07-31,2.1212
2015-08-03,2.1147
2015-08-04,2.1199
2015-08-05,2.1298
2015-08-06,2.1371
2015-08-07,2.1407
2015-08-10,2.144
2015-08-11,2.1492
2015-08-12,2.1522
2015-08-13,2.1383
2015-08-14,2.1397
2015-08-17,2.1359
2015-08-18,2.1278
2015-08-19,2.1316
2015-08-20,2.1446
2015-08-21,2.1482
2015-08-24,2.1673
2015-08-25,2.1633
2015-08-26,2.1669
2015-08-27,2.1605
2015-08-28,2.1641
2015-08-31,2.165
2015-09-01,2.1626
2015-09-02,2.1699
2015-09-03,2.1635
2015-09-04,2.1622
2015-09-07,2.1645
2015-09-08,2.1658
2015-09-09,2.154
2015-09-10,2.1552
2015-09-11,2.1515
2015-09-14,2.152
2015-09-15,2.1522
2015-09-16,2.1472
2015-09-17,2.1507
2015-09-18,2.1504
2015-09-21,2.1421
2015-09-22,2.1436
2015-09-23,2.1478
2015-09-24,2.1576
2015-09-25,2.1533
2015-09-28,2.1645
2015-09-29,2.1696
2015-09-30,2.1671
2015-10-01,2.1697
2015-10-02,2.1705
2015-10-05,2.1717
2015-10-06,2.1706
2015-10-07,2.1613
2015-10-08,2.1682
2015-10-09,2.1561
2015-10-12,2.1614
2015-10-13,2.1646
2015-10-14,2.1661
2015-10-15,2.1625
2015-10-16,2.1635
2015-10-19,2.1649
2015-10-20,2.1716
2015-10-21,2.1855
2015-10-22,2.1868
2015-10-23,2.174
2015-10-26,2.1783
2015-10-27,2.1837
2015-10-28,2.1936
