effectiveDate,mid
2015-01-02,1.3443
2015-01-05,1.335
2015-01-07,1.3471
2015-01-08,1.3595
2015-01-09,1.361
2015-01-12,1.377
2015-01-13,1.3558
2015-01-14,1.3816
2015-01-15,1.4026
2015-01-16,1.4068
2015-01-19,1.4178
2015-01-20,1.4081
2015-01-21,1.4286
2015-01-22,1.4223
2015-01-23,1.464
2015-01-26,1.4568
2015-01-27,1.4461
2015-01-28,1.4488
2015-01-29,1.4524
2015-01-30,1.4286
2015-02-02,1.3714
2015-02-03,1.3526
2015-02-04,1.3529
2015-02-05,1.3365
2015-02-06,1.3259
2015-02-09,1.3229
2015-02-10,1.3439
2015-02-11,1.3085
2015-02-12,1.2866
2015-02-13,1.2957
2015-02-16,1.2936
2015-02-17,1.3005
2015-02-18,1.2997
2015-02-19,1.2915
2015-02-20,1.2871
2015-02-23,1.2874
2015-02-24,1.2835
2015-02-25,1.2939
2015-02-26,1.2705
2015-02-27,1.2714
2015-03-02,1.3049
2015-03-03,1.2841
2015-03-04,1.2788
2015-03-05,1.2603
2015-03-06,1.2535
2015-03-09,1.2365
2015-03-10,1.2177
2015-03-11,1.26
2015-03-12,1.2419
2015-03-13,1.2289
2015-03-16,1.2081
2015-03-17,1.1941
2015-03-18,1.1988
2015-03-19,1.1893
2015-03-20,1.1668
2015-03-23,1.1823
2015-03-24,1.1944
2015-03-25,1.1897
2015-03-26,1.1571
2015-03-27,1.19
2015-03-30,1.1599
2015-03-31,1.1807
2015-04-01,1.1867
2015-04-02,1.1848
2015-04-03,1.1999
2015-04-07,1.1973
2015-04-08,1.1871
2015-04-09,1.2268
2015-04-10,1.2388
2015-04-13,1.2378
2015-04-14,1.2177
2015-04-15,1.2323
2015-04-16,1.2462
2015-04-17,1.2331
2015-04-20,1.2266
2015-04-21,1.2288
2015-04-22,1.2236
2015-04-23,1.2418
2015-04-24,1.2403
2015-04-27,1.2564
2015-04-28,1.2596
2015-04-29,1.2381
2015-04-30,1.2161
2015-05-04,1.2047
2015-05-05,1.173
2015-05-06,1.1815
2015-05-07,1.181
2015-05-08,1.1927
