effectiveDate,mid
2015-01-02,3.0637
2015-01-05,3.0557
2015-01-07,3.0646
2015-01-08,3.0879
2015-01-09,3.058
2015-01-12,3.0482
2015-01-13,3.0251
2015-01-14,3.0494
2015-01-15,3.0665
2015-01-16,3.0987
2015-01-19,3.1063
2015-01-20,3.1201
2015-01-21,3.0879
2015-01-22,2.9986
2015-01-23,3.0368
2015-01-26,3.0179
2015-01-27,2.9968
2015-01-28,2.9977
2015-01-29,2.9877
2015-01-30,2.9374
2015-02-02,2.8865
2015-02-03,2.9317
2015-02-04,2.9274
2015-02-05,2.9287
2015-02-06,2.9258
2015-02-09,2.9444
2015-02-10,2.9805
2015-02-11,2.9459
2015-02-12,2.9382
2015-02-13,2.9196
2015-02-16,2.9467
2015-02-17,2.9689
2015-02-18,2.964
2015-02-19,2.9344
2015-02-20,2.9645
2015-02-23,2.9336
2015-02-24,2.9221
2015-02-25,2.9447
2015-02-26,2.9468
2015-02-27,2.9648
2015-03-02,2.9638
2015-03-03,2.969
2015-03-04,2.9941
2015-03-05,3.0233
2015-03-06,3.0162
2015-03-09,3.0079
2015-03-10,3.0239
2015-03-11,3.0779
2015-03-12,3.066
2015-03-13,3.0767
2015-03-16,3.0741
2015-03-17,3.0581
2015-03-18,3.0535
2015-03-19,3.0506
2015-03-20,3.0478
2015-03-23,3.031
2015-03-24,2.9982
2015-03-25,2.9888
2015-03-26,2.9809
2015-03-27,3.0267
2015-03-30,2.9868
2015-03-31,2.9915
2015-04-01,2.9821
2015-04-02,2.9751
2015-04-03,2.9802
2015-04-07,2.9956
2015-04-08,2.9811
2015-04-09,2.9744
2015-04-10,3.0048
2015-04-13,3.0136
2015-04-14,3.0157
2015-04-15,3.0236
2015-04-16,3.0683
2015-04-17,3.0598
2015-04-20,3.0599
2015-04-21,3.0445
2015-04-22,3.036
2015-04-23,3.0504
2015-04-24,3.0426
2015-04-27,3.0481
2015-04-28,3.0381
2015-04-29,3.0272
2015-04-30,2.9922
2015-05-04,2.9902
2015-05-05,2.9883
2015-05-06,3.0029
2015-05-07,2.9678
2015-05-08,2.9844
2015-05-11,3.0077
2015-05-12,3.0222
2015-05-13,3.0297
2015-05-14,3.0026
2015-05-15,2.9741
2015-05-18,2.9509
2015-05-19,2.9674
2015-05-20,2.9895
2015-05-21,3.0071
2015-05-22,3.007
2015-05-25,3.05
2015-05-26,3.0663
2015-05-27,3.0523
2015-05-28,3.0352
2015-05-29,3.0288
2015-06-01,3.032
2015-06-01,3.032
2015-06-02,3.0106
2015-06-03,2.9846
2015-06-05,2.9497
2015-06-08,3.0026
2015-06-09,2.9795
2015-06-10,3.0031
2015-06-11,2.992
2015-06-12,3.0097
2015-06-15,2.9915
2015-06-16,2.9949
2015-06-17,2.991
2015-06-18,3.0021
2015-06-19,3.0176
2015-06-22,3.0006
2015-06-23,3.0034
2015-06-24,3.0201
2015-06-25,3.0125
2015-06-26,3.018
2015-06-29,3.0561
2015-06-30,3.0361
2015-07-01,3.0087
2015-07-02,2.9996
2015-07-03,3.0039
2015-07-06,3.0144
2015-07-07,3.0192
2015-07-08,3.0035
2015-07-09,3.0081
2015-07-10,2.9648
2015-07-13,2.9491
2015-07-14,2.9446
2015-07-15,2.937
2015-07-16,2.9171
2015-07-17,2.9017
2015-07-20,2.9176
2015-07-21,2.9152
2015-07-22,2.9004
2015-07-23,2.8956
2015-07-24,2.8915
2015-07-27,2.8814
2015-07-28,2.8664
2015-07-29,2.8942
2015-07-30,2.9105
2015-07-31,2.9101
2015-08-03,2.866
2015-08-04,2.8821
2015-08-05,2.9099
2015-08-06,2.914
2015-08-07,2.9219
2015-08-10,2.9021
2015-08-11,2.9238
2015-08-12,2.889
2015-08-13,2.8938
2015-08-14,2.8746
2015-08-17,2.8651
2015-08-18,2.864
2015-08-19,2.8913
2015-08-20,2.8577
2015-08-21,2.8523
2015-08-24,2.7908
2015-08-25,2.7686
2015-08-26,2.7807
2015-08-27,2.8324
2015-08-28,2.8341
2015-08-31,2.8513
2015-09-01,2.8388
2015-09-02,2.8412
2015-09-03,2.8383
2015-09-04,2.8718
2015-09-07,2.859
2015-09-08,2.8553
2015-09-09,2.8467
2015-09-10,2.8501
2015-09-11,2.8107
2015-09-14,2.8045
2015-09-15,2.8119
2015-09-16,2.8219
2015-09-17,2.8148
2015-09-18,2.8075
2015-09-21,2.8065
2015-09-22,2.826
2015-09-23,2.8504
2015-09-24,2.8264
2015-09-25,2.8358
2015-09-28,2.8399
2015-09-29,2.8185
2015-09-30,2.8173
2015-10-01,2.8604
2015-10-02,2.8729
2015-10-05,2.8781
