effectiveDate,mid
2015-01-02,0.5722
2015-01-05,0.5713
2015-01-07,0.5727
2015-01-08,0.5852
2015-01-09,0.5844
2015-01-12,0.5839
2015-01-13,0.5834
2015-01-14,0.5845
2015-01-15,0.5847
2015-01-16,0.5891
2015-01-19,0.5883
2015-01-20,0.602
2015-01-21,0.6016
2015-01-22,0.5964
2015-01-23,0.5874
2015-01-26,0.5987
2015-01-27,0.6001
2015-01-28,0.5976
2015-01-29,0.6011
2015-01-30,0.5936
2015-02-02,0.5891
2015-02-03,0.5896
2015-02-04,0.583
2015-02-05,0.5875
2015-02-06,0.5869
2015-02-09,0.5888
2015-02-10,0.5947
2015-02-11,0.5947
2015-02-12,0.5914
2015-02-13,0.5859
2015-02-16,0.5861
2015-02-17,0.5906
2015-02-18,0.5906
2015-02-19,0.5887
2015-02-20,0.5891
2015-02-23,0.5888
2015-02-24,0.5886
2015-02-25,0.5859
2015-02-26,0.5841
2015-02-27,0.5903
2015-03-02,0.5921
2015-03-03,0.5918
2015-03-04,0.596
2015-03-05,0.5983
2015-03-06,0.5986
2015-03-09,0.6049
2015-03-10,0.6109
2015-03-11,0.621
2015-03-12,0.6214
2015-03-13,0.6254
2015-03-16,0.6271
2015-03-17,0.6251
2015-03-18,0.6277
2015-03-19,0.6228
2015-03-20,0.6228
2015-03-23,0.6164
2015-03-24,0.6034
2015-03-25,0.6012
2015-03-26,0.5959
2015-03-27,0.6092
2015-03-30,0.608
2015-03-31,0.6138
2015-04-01,0.6108
2015-04-02,0.6057
2015-04-03,0.6048
2015-04-07,0.6027
2015-04-08,0.599
2015-04-09,0.6031
2015-04-10,0.6094
2015-04-13,0.6119
2015-04-14,0.61
2015-04-15,0.6101
2015-04-16,0.609
2015-04-17,0.603
2015-04-20,0.6
2015-04-21,0.6017
2015-04-22,0.6006
2015-04-23,0.6035
2015-04-24,0.6048
2015-04-27,0.5968
2015-04-28,0.5943
2015-04-29,0.5872
2015-04-30,0.5818
2015-05-04,0.5847
2015-05-05,0.5847
2015-05-06,0.5815
2015-05-07,0.5775
2015-05-08,0.5813
2015-05-11,0.5882
2015-05-12,0.5876
2015-05-13,0.5855
2015-05-14,0.5786
2015-05-15,0.5751
2015-05-18,0.5732
2015-05-19,0.5829
2015-05-20,0.5893
2015-05-21,0.5905
2015-05-22,0.5923
2015-05-25,0.6051
2015-05-26,0.6105
2015-05-27,0.6116
2015-05-28,0.6113
2015-05-29,0.6079
2015-06-01,0.6098
2015-06-01,0.6098
2015-06-02,0.6089
2015-06-03,0.5982
2015-06-05,0.5954
2015-06-08,0.6011
2015-06-09,0.595
2015-06-10,0.5915
2015-06-11,0.5938
2015-06-12,0.5949
2015-06-15,0.5942
2015-06-16,0.594
2015-06-17,0.5932
2015-06-18,0.5876
2015-06-19,0.5938
2015-06-22,0.5919
2015-06-23,0.5965
2015-06-24,0.5977
2015-06-25,0.6009
2015-06-26,0.6002
2015-06-29,0.6067
2015-06-30,0.607
2015-07-01,0.6063
2015-07-02,0.6102
2015-07-03,0.6076
2015-07-06,0.6104
2015-07-07,0.6172
