effectiveDate,mid
2015-01-02,0.5788
2015-01-05,0.5779
2015-01-07,0.5794
2015-01-08,0.5777
2015-01-09,0.5758
2015-01-12,0.5751
2015-01-13,0.5753
2015-01-14,0.5765
2015-01-15,0.5768
2015-01-16,0.5814
2015-01-19,0.5806
2015-01-20,0.5829
2015-01-21,0.5812
2015-01-22,0.5781
2015-01-23,0.569
2015-01-26,0.568
2015-01-27,0.5678
2015-01-28,0.5689
2015-01-29,0.5689
2015-01-30,0.5653
2015-02-02,0.561
2015-02-03,0.5617
2015-02-04,0.5604
2015-02-05,0.5607
2015-02-06,0.5601
2015-02-09,0.561
2015-02-10,0.5644
2015-02-11,0.5643
2015-02-12,0.5625
2015-02-13,0.5613
2015-02-16,0.5617
2015-02-17,0.5629
2015-02-18,0.5629
2015-02-19,0.5611
2015-02-20,0.5613
2015-02-23,0.5601
2015-02-24,0.5602
2015-02-25,0.5584
2015-02-26,0.5563
2015-02-27,0.5558
2015-03-02,0.5568
2015-03-03,0.5576
2015-03-04,0.5596
2015-03-05,0.5557
2015-03-06,0.5541
2015-03-09,0.5537
2015-03-10,0.5534
2015-03-11,0.556
2015-03-12,0.5533
2015-03-13,0.557
2015-03-16,0.5546
2015-03-17,0.5546
2015-03-18,0.5558
2015-03-19,0.553
2015-03-20,0.5537
2015-03-23,0.5539
2015-03-24,0.5507
2015-03-25,0.5482
2015-03-26,0.5475
2015-03-27,0.549
2015-03-30,0.5481
2015-03-31,0.5474
2015-04-01,0.5444
2015-04-02,0.544
2015-04-03,0.5452
2015-04-07,0.5436
2015-04-08,0.54
2015-04-09,0.538
2015-04-10,0.538
2015-04-13,0.538
2015-04-14,0.5367
2015-04-15,0.5368
2015-04-16,0.5375
2015-04-17,0.5405
2015-04-20,0.5376
2015-04-21,0.5338
2015-04-22,0.5363
2015-04-23,0.5371
2015-04-24,0.5382
2015-04-27,0.539
2015-04-28,0.5372
2015-04-29,0.5368
2015-04-30,0.5406
2015-05-04,0.5421
2015-05-05,0.5383
2015-05-06,0.5433
2015-05-07,0.545
2015-05-08,0.5433
2015-05-11,0.5463
2015-05-12,0.5498
2015-05-13,0.5463
2015-05-14,0.5486
2015-05-15,0.5436
2015-05-18,0.5422
2015-05-19,0.5425
2015-05-20,0.5444
2015-05-21,0.5476
2015-05-22,0.5496
2015-05-25,0.5519
2015-05-26,0.5537
2015-05-27,0.5554
2015-05-28,0.5554
2015-05-29,0.5536
2015-06-01,0.5532
2015-06-01,0.5532
2015-06-02,0.5547
2015-06-03,0.5538
2015-06-05,0.5576
2015-06-08,0.5571
2015-06-09,0.5591
2015-06-10,0.5576
2015-06-11,0.556
2015-06-12,0.5552
2015-06-15,0.5561
2015-06-16,0.5577
2015-06-17,0.5569
2015-06-18,0.5579
2015-06-19,0.5591
2015-06-22,0.5592
2015-06-23,0.5581
2015-06-24,0.558
2015-06-25,0.5595
2015-06-26,0.5598
2015-06-29,0.5616
2015-06-30,0.5622
2015-07-01,0.5619
2015-07-02,0.5621
2015-07-03,0.5618
2015-07-06,0.5628
2015-07-07,0.5633
2015-07-08,0.5657
2015-07-09,0.5666
