effectiveDate,mid
2015-01-02,0.4606
2015-01-05,0.4638
2015-01-07,0.4691
2015-01-08,0.4705
2015-01-09,0.4676
2015-01-12,0.4671
2015-01-13,0.4675
2015-01-14,0.4709
2015-01-15,0.4718
2015-01-16,0.4795
2015-01-19,0.4794
2015-01-20,0.4816
2015-01-21,0.4818
2015-01-22,0.4771
2015-01-23,0.4862
2015-01-26,0.4849
2015-01-27,0.4819
2015-01-28,0.4808
2015-01-29,0.4827
2015-01-30,0.4799
2015-02-02,0.4745
2015-02-03,0.4757
2015-02-04,0.47
2015-02-05,0.4727
2015-02-06,0.4695
2015-02-09,0.4748
2015-02-10,0.4801
2015-02-11,0.4783
2015-02-12,0.476
2015-02-13,0.4713
2015-02-16,0.4726
2015-02-17,0.4742
2015-02-18,0.4741
2015-02-19,0.4725
2015-02-20,0.4756
2015-02-23,0.4761
2015-02-24,0.4763
2015-02-25,0.4726
2015-02-26,0.471
2015-02-27,0.4769
2015-03-02,0.4777
2015-03-03,0.4797
2015-03-04,0.4834
2015-03-05,0.4838
2015-03-06,0.4853
2015-03-09,0.4882
2015-03-10,0.4942
2015-03-11,0.5037
2015-03-12,0.5011
2015-03-13,0.504
2015-03-16,0.5056
2015-03-17,0.5025
2015-03-18,0.5036
2015-03-19,0.4971
2015-03-20,0.4981
2015-03-23,0.4923
2015-03-24,0.483
2015-03-25,0.4818
2015-03-26,0.4778
2015-03-27,0.4886
2015-03-30,0.4861
2015-03-31,0.4917
2015-04-01,0.4886
2015-04-02,0.4842
2015-04-03,0.4831
2015-04-07,0.4828
2015-04-08,0.4791
2015-04-09,0.4827
2015-04-10,0.489
2015-04-13,0.4914
2015-04-14,0.4903
2015-04-15,0.4887
2015-04-16,0.4871
2015-04-17,0.4808
2015-04-20,0.4813
2015-04-21,0.4809
2015-04-22,0.4791
2015-04-23,0.482
2015-04-24,0.4761
2015-04-27,0.4789
2015-04-28,0.4742
2015-04-29,0.4696
2015-04-30,0.4643
2015-05-04,0.4685
2015-05-05,0.467
2015-05-06,0.4659
2015-05-07,0.462
2015-05-08,0.4656
2015-05-11,0.4708
2015-05-12,0.4702
2015-05-13,0.4683
2015-05-14,0.4632
2015-05-15,0.4608
2015-05-18,0.4585
2015-05-19,0.4663
2015-05-20,0.4715
2015-05-21,0.4722
2015-05-22,0.4733
2015-05-25,0.4838
2015-05-26,0.4889
2015-05-27,0.4891
2015-05-28,0.4883
2015-05-29,0.4862
2015-06-01,0.4882
2015-06-01,0.4882
2015-06-02,0.4857
2015-06-03,0.4786
2015-06-05,0.4765
2015-06-08,0.4821
2015-06-09,0.4769
2015-06-10,0.4741
2015-06-11,0.4749
2015-06-12,0.4785
2015-06-15,0.4761
2015-06-16,0.4765
2015-06-17,0.4757
2015-06-18,0.4715
2015-06-19,0.4757
2015-06-22,0.4746
2015-06-23,0.4779
2015-06-24,0.4787
2015-06-25,0.4813
2015-06-26,0.4808
2015-06-29,0.486
2015-06-30,0.4856
2015-07-01,0.4852
2015-07-02,0.4884
2015-07-03,0.4866
2015-07-06,0.4896
2015-07-07,0.4942
2015-07-08,0.4929
2015-07-09,0.4938
2015-07-10,0.4864
2015-07-13,0.4844
2015-07-14,0.486
2015-07-15,0.4834
2015-07-16,0.4863
2015-07-17,0.486
2015-07-20,0.4885
2015-07-21,0.4886
2015-07-22,0.4856
2015-07-23,0.4847
2015-07-24,0.4858
2015-07-27,0.4833
2015-07-28,0.4813
2015-07-29,0.4834
2015-07-30,0.4872
2015-07-31,0.4892
2015-08-03,0.4863
2015-08-04,0.4875
2015-08-05,0.4948
2015-08-06,0.4952
2015-08-07,0.4944
2015-08-10,0.4933
2015-08-11,0.491
2015-08-12,0.4876
2015-08-13,0.4852
2015-08-14,0.4842
2015-08-17,0.4851
2015-08-18,0.4845
2015-08-19,0.4865
2015-08-20,0.4856
2015-08-21,0.4814
2015-08-24,0.4766
2015-08-25,0.4724
2015-08-26,0.4767
2015-08-27,0.4833
2015-08-28,0.4838
2015-08-31,0.4876
2015-09-01,0.484
2015-09-02,0.4854
2015-09-03,0.4857
2015-09-04,0.4898
2015-09-07,0.4894
2015-09-08,0.4887
2015-09-09,0.4856
2015-09-10,0.4857
2015-09-11,0.4809
2015-09-14,0.479
2015-09-15,0.4805
2015-09-16,0.4815
2015-09-17,0.479
2015-09-18,0.474
2015-09-21,0.4785
2015-09-22,0.4832
2015-09-23,0.4877
2015-09-24,0.4862
2015-09-25,0.4878
2015-09-28,0.4886
2015-09-29,0.4876
2015-09-30,0.4871
2015-10-01,0.4905
2015-10-02,0.4906
2015-10-05,0.4868
2015-10-06,0.4888
2015-10-07,0.4852
2015-10-08,0.4845
2015-10-09,0.4805
2015-10-12,0.4793
2015-10-13,0.48
2015-10-14,0.4792
2015-10-15,0.4769
2015-10-16,0.4806
2015-10-19,0.4809
2015-10-20,0.4824
2015-10-21,0.4855
2015-10-22,0.4878
2015-10-23,0.493
2015-10-26,0.4987
2015-10-27,0.499
2015-10-28,0.5011
2015-10-29,0.503
2015-10-30,0.5
2015-11-02,0.4982
2015-11-03,0.4991
2015-11-04,0.5017
2015-11-05,0.5023
2015-11-06,0.5041
2015-11-09,0.5109
2015-11-10,0.5105
2015-11-12,0.5088
2015-11-13,0.5082
2015-11-16,0.5108
2015-11-17,0.5132
2015-11-18,0.5135
2015-11-19,0.5129
2015-11-20,0.5124
2015-11-23,0.5145
2015-11-24,0.5164
2015-11-25,0.5189
2015-11-26,0.52
2015-11-27,0.5204
2015-11-30,0.52
2015-12-01,0.5192
