effectiveDate,mid
2015-01-02,0.5618
2015-01-05,0.5603
2015-01-07,0.5618
2015-01-08,0.56
2015-01-09,0.558
2015-01-12,0.5572
2015-01-13,0.5572
2015-01-14,0.5581
2015-01-15,0.5581
2015-01-16,0.5619
2015-01-19,0.5611
2015-01-20,0.5627
2015-01-21,0.561
2015-01-22,0.5574
2015-01-23,0.5499
2015-01-26,0.5491
2015-01-27,0.5495
2015-01-28,0.5506
2015-01-29,0.5502
2015-01-30,0.5466
2015-02-02,0.5422
2015-02-03,0.5424
2015-02-04,0.5409
2015-02-05,0.541
2015-02-06,0.5405
2015-02-09,0.5411
2015-02-10,0.5444
2015-02-11,0.5438
2015-02-12,0.5424
2015-02-13,0.5415
2015-02-16,0.5422
2015-02-17,0.543
2015-02-18,0.5424
2015-02-19,0.541
2015-02-20,0.5418
2015-02-23,0.5417
2015-02-24,0.5416
2015-02-25,0.5421
2015-02-26,0.5401
2015-02-27,0.54
2015-03-02,0.5411
2015-03-03,0.5421
2015-03-04,0.5446
2015-03-05,0.5408
2015-03-06,0.5411
2015-03-09,0.5405
2015-03-10,0.5423
2015-03-11,0.5429
2015-03-12,0.5395
2015-03-13,0.5432
2015-03-16,0.5401
2015-03-17,0.5409
2015-03-18,0.5422
2015-03-19,0.5388
2015-03-20,0.5401
2015-03-23,0.5402
2015-03-24,0.5373
2015-03-25,0.5349
2015-03-26,0.5344
2015-03-27,0.5359
2015-03-30,0.5357
2015-03-31,0.5344
2015-04-01,0.5317
2015-04-02,0.5325
2015-04-03,0.5346
2015-04-07,0.533
2015-04-08,0.5302
2015-04-09,0.5292
2015-04-10,0.5303
2015-04-13,0.5313
2015-04-14,0.5292
2015-04-15,0.5288
2015-04-16,0.5299
2015-04-17,0.5328
2015-04-20,0.5303
2015-04-21,0.5259
2015-04-22,0.5282
2015-04-23,0.5285
2015-04-24,0.5278
2015-04-27,0.5296
2015-04-28,0.5278
2015-04-29,0.5286
2015-04-30,0.533
2015-05-04,0.5336
2015-05-05,0.5295
2015-05-06,0.535
2015-05-07,0.5372
2015-05-08,0.5362
2015-05-11,0.5391
2015-05-12,0.5421
2015-05-13,0.5395
2015-05-14,0.5426
2015-05-15,0.5378
2015-05-18,0.5367
2015-05-19,0.5372
2015-05-20,0.5394
2015-05-21,0.5415
2015-05-22,0.5433
2015-05-25,0.5456
2015-05-26,0.5462
2015-05-27,0.5466
2015-05-28,0.5458
2015-05-29,0.5453
2015-06-01,0.5453
2015-06-01,0.5453
2015-06-02,0.5456
2015-06-03,0.546
2015-06-05,0.5503
2015-06-08,0.5503
2015-06-09,0.552
2015-06-10,0.5517
2015-06-11,0.5494
2015-06-12,0.5476
2015-06-15,0.5477
2015-06-16,0.5486
2015-06-17,0.5476
2015-06-18,0.5494
2015-06-19,0.5507
2015-06-22,0.5506
2015-06-23,0.5498
2015-06-24,0.5489
2015-06-25,0.5499
2015-06-26,0.5506
2015-06-29,0.5518
2015-06-30,0.5521
2015-07-01,0.5524
2015-07-02,0.5524
2015-07-03,0.5517
2015-07-06,0.5533
2015-07-07,0.5549
2015-07-08,0.5577
2015-07-09,0.5586
2015-07-10,0.5536
2015-07-13,0.5483
2015-07-14,0.5483
2015-07-15,0.5451
2015-07-16,0.5418
2015-07-17,0.5396
2015-07-20,0.541
2015-07-21,0.5411
2015-07-22,0.5426
2015-07-23,0.5448
2015-07-24,0.5434
2015-07-27,0.5457
2015-07-28,0.5444
2015-07-29,0.5457
2015-07-30,0.5458
2015-07-31,0.5463
2015-08-03,0.5449
2015-08-04,0.5468
2015-08-05,0.5498
2015-08-06,0.5524
2015-08-07,0.5548
2015-08-10,0.5569
2015-08-11,0.5582
2015-08-12,0.5567
2015-08-13,0.5534
2015-08-14,0.555
2015-08-17,0.5529
2015-08-18,0.5507
2015-08-19,0.5516
2015-08-20,0.5558
2015-08-21,0.5564
2015-08-24,0.5607
2015-08-25,0.5595
2015-08-26,0.561
2015-08-27,0.5603
2015-08-28,0.56
2015-08-31,0.5603
2015-09-01,0.5606
2015-09-02,0.5619
2015-09-03,0.5599
2015-09-04,0.5596
2015-09-07,0.5602
2015-09-08,0.5604
2015-09-09,0.5577
2015-09-10,0.5584
2015-09-11,0.5578
2015-09-14,0.5578
2015-09-15,0.5567
2015-09-16,0.5546
2015-09-17,0.5546
2015-09-18,0.5518
2015-09-21,0.5488
2015-09-22,0.5489
2015-09-23,0.5515
2015-09-24,0.554
2015-09-25,0.5514
2015-09-28,0.5541
2015-09-29,0.5547
2015-09-30,0.5529
2015-10-01,0.5547
2015-10-02,0.5556
2015-10-05,0.5568
2015-10-06,0.5568
2015-10-07,0.5546
