effectiveDate,mid
2015-01-02,0.013512
2015-01-05,0.013476
2015-01-07,0.01349
2015-01-08,0.013535
2015-01-09,0.013479
2015-01-12,0.013453
2015-01-13,0.01347
2015-01-14,0.01341
2015-01-15,0.013339
2015-01-16,0.013453
2015-01-19,0.013565
2015-01-20,0.013601
2015-01-21,0.013686
2015-01-22,0.013628
2015-01-23,0.013601
2015-01-26,0.013569
2015-01-27,0.013527
2015-01-28,0.0136
2015-01-29,0.013569
2015-01-30,0.013527
2015-02-02,0.013418
2015-02-03,0.013495
2015-02-04,0.013495
2015-02-05,0.013525
2015-02-06,0.013612
2015-02-09,0.013595
2015-02-10,0.013576
2015-02-11,0.013598
2015-02-12,0.013604
2015-02-13,0.01365
2015-02-16,0.013621
2015-02-17,0.01361
2015-02-18,0.013608
2015-02-19,0.013662
2015-02-20,0.013706
2015-02-23,0.013666
2015-02-24,0.013657
2015-02-25,0.01364
2015-02-26,0.013692
2015-02-27,0.013699
2015-03-02,0.013693
2015-03-03,0.013643
2015-03-04,0.01359
2015-03-05,0.013567
2015-03-06,0.013578
2015-03-09,0.013533
2015-03-10,0.013467
2015-03-11,0.013563
2015-03-12,0.013603
2015-03-13,0.013604
2015-03-16,0.013578
2015-03-17,0.013622
2015-03-18,0.013646
2015-03-19,0.01365
2015-03-20,0.013599
2015-03-23,0.013581
2015-03-24,0.013534
2015-03-25,0.013674
2015-03-26,0.013633
2015-03-27,0.013635
2015-03-30,0.013656
2015-03-31,0.013667
2015-04-01,0.013597
2015-04-02,0.013604
2015-04-03,0.013592
2015-04-07,0.013568
2015-04-08,0.013564
2015-04-09,0.01352
2015-04-10,0.013489
2015-04-13,0.013526
2015-04-14,0.013523
2015-04-15,0.013539
2015-04-16,0.013368
2015-04-17,0.013345
2015-04-20,0.01331
2015-04-21,0.013365
2015-04-22,0.013329
2015-04-23,0.013282
2015-04-24,0.013351
2015-04-27,0.013303
2015-04-28,0.013301
2015-04-29,0.013284
2015-04-30,0.013312
2015-05-04,0.013325
2015-05-05,0.013325
2015-05-06,0.013311
2015-05-07,0.013261
2015-05-08,0.013406
2015-05-11,0.01338
2015-05-12,0.013359
