effectiveDate,mid
2015-01-02,0.00028671
2015-01-05,0.00028643
2015-01-07,0.00028648
2015-01-08,0.00028476
2015-01-09,0.00028644
2015-01-12,0.00028607
2015-01-13,0.00028621
2015-01-14,0.00028879
2015-01-15,0.00028887
2015-01-16,0.00029104
2015-01-19,0.00029067
2015-01-20,0.00029182
2015-01-21,0.00029103
2015-01-22,0.00029684
2015-01-23,0.00029922
2015-01-26,0.00030231
2015-01-27,0.00030021
2015-01-28,0.00030066
2015-01-29,0.00028659
2015-01-30,0.00029562
2015-02-02,0.00029042
2015-02-03,0.00029087
2015-02-04,0.00028937
2015-02-05,0.00028935
2015-02-06,0.00028905
2015-02-09,0.0002895
2015-02-10,0.00029199
2015-02-11,0.00029257
2015-02-12,0.00028856
2015-02-13,0.00028687
2015-02-16,0.00028697
2015-02-17,0.0002876
2015-02-18,0.00028712
2015-02-19,0.000286
2015-02-20,0.00028532
2015-02-23,0.00028713
2015-02-24,0.00028546
2015-02-25,0.00028394
2015-02-26,0.00028415
2015-02-27,0.00028836
2015-03-02,0.00028622
2015-03-03,0.00028621
2015-03-04,0.00028705
2015-03-05,0.0002877
2015-03-06,0.00028815
2015-03-09,0.00029158
2015-03-10,0.00029068
2015-03-11,0.00029314
2015-03-12,0.0002956
2015-03-13,0.00029695
2015-03-16,0.00029711
2015-03-17,0.0002959
2015-03-18,0.00029692
2015-03-19,0.00029408
2015-03-20,0.00029701
2015-03-23,0.00029417
2015-03-24,0.00028947
2015-03-25,0.00028954
2015-03-26,0.00028783
2015-03-27,0.00028838
2015-03-30,0.00028821
2015-03-31,0.00028898
2015-04-01,0.00028974
2015-04-02,0.00029008
2015-04-03,0.00028787
2015-04-07,0.00028462
2015-04-08,0.00028681
2015-04-09,0.00028723
2015-04-10,0.00029182
2015-04-13,0.0002931
2015-04-14,0.00029123
2015-04-15,0.00029056
2015-04-16,0.00029289
2015-04-17,0.00029278
2015-04-20,0.0002893
2015-04-21,0.0002868
2015-04-22,0.00028674
2015-04-23,0.00028904
2015-04-24,0.00028966
2015-04-27,0.00028612
2015-04-28,0.00028394
2015-04-29,0.00028201
2015-04-30,0.00028237
2015-05-04,0.00027687
2015-05-05,0.00027719
2015-05-06,0.000279
2015-05-07,0.00027536
2015-05-08,0.00027372
2015-05-11,0.00027714
2015-05-12,0.00027978
2015-05-13,0.00027442
2015-05-14,0.00027517
2015-05-15,0.00027359
2015-05-18,0.00027042
2015-05-19,0.00027076
2015-05-20,0.00027684
2015-05-21,0.00027884
2015-05-22,0.00028068
2015-05-25,0.00028447
2015-05-26,0.00028537
2015-05-27,0.00028783
2015-05-28,0.00028833
2015-05-29,0.00028731
2015-06-01,0.00028377
2015-06-01,0.00028377
2015-06-02,0.00028642
2015-06-03,0.00028005
2015-06-05,0.0002778
2015-06-08,0.00027752
2015-06-09,0.00027739
2015-06-10,0.00027744
2015-06-11,0.00027526
2015-06-12,0.00027615
2015-06-15,0.00027657
2015-06-16,0.00027647
2015-06-17,0.00027699
2015-06-18,0.00027688
2015-06-19,0.00027754
2015-06-22,0.00027623
2015-06-23,0.00027583
2015-06-24,0.00028088
2015-06-25,0.00028058
2015-06-26,0.00027964
2015-06-29,0.0002823
2015-06-30,0.00028113
2015-07-01,0.00028033
2015-07-02,0.0002844
2015-07-03,0.00028308
2015-07-06,0.00028343
2015-07-07,0.00028434
2015-07-08,0.00028854
2015-07-09,0.00028653
2015-07-10,0.00028526
2015-07-13,0.00028027
2015-07-14,0.0002832
2015-07-15,0.00028243
2015-07-16,0.00028129
2015-07-17,0.00028232
2015-07-20,0.00028372
2015-07-21,0.00028382
2015-07-22,0.00028201
2015-07-23,0.00028239
2015-07-24,0.000279
2015-07-27,0.00028113
2015-07-28,0.00027575
2015-07-29,0.00027839
2015-07-30,0.00027889
2015-07-31,0.00028223
2015-08-03,0.00027758
2015-08-04,0.0002803
2015-08-05,0.00028183
2015-08-06,0.00028434
2015-08-07,0.00028289
2015-08-10,0.00028238
2015-08-11,0.00028108
2015-08-12,0.00028053
2015-08-13,0.00027175
2015-08-14,0.00027334
2015-08-17,0.0002725
2015-08-18,0.00027147
2015-08-19,0.00027195
2015-08-20,0.00027362
2015-08-21,0.00027406
2015-08-24,0.00027652
2015-08-25,0.00027599
2015-08-26,0.00027646
2015-08-27,0.00027564
2015-08-28,0.00027609
2015-08-31,0.00027622
2015-09-01,0.00026608
