effectiveDate,mid
2015-01-02,0.9104
2015-01-05,0.9134
2015-01-07,0.916
2015-01-08,0.9169
2015-01-09,0.917
2015-01-12,0.9174
2015-01-13,0.9212
2015-01-14,0.9263
2015-01-15,0.9397
2015-01-16,0.9507
2015-01-19,0.9436
2015-01-20,0.9514
2015-01-21,0.9473
2015-01-22,0.9394
2015-01-23,0.9493
2015-01-26,0.9399
2015-01-27,0.9375
2015-01-28,0.9437
2015-01-29,0.9508
2015-01-30,0.9449
2015-02-02,0.9353
2015-02-03,0.9381
2015-02-04,0.934
2015-02-05,0.9415
2015-02-06,0.942
2015-02-09,0.9493
2015-02-10,0.9576
2015-02-11,0.9616
2015-02-12,0.9504
2015-02-13,0.9422
2015-02-16,0.937
2015-02-17,0.9499
2015-02-18,0.957
2015-02-19,0.955
2015-02-20,0.9559
2015-02-23,0.9564
2015-02-24,0.9385
2015-02-25,0.9313
2015-02-26,0.9286
2015-02-27,0.9293
2015-03-02,0.9275
2015-03-03,0.9312
2015-03-04,0.941
2015-03-05,0.9393
2015-03-06,0.9394
2015-03-09,0.9428
2015-03-10,0.9525
2015-03-11,0.9656
2015-03-12,0.9675
2015-03-13,0.9747
2015-03-16,0.9762
2015-03-17,0.9731
2015-03-18,0.9745
2015-03-19,0.9635
2015-03-20,0.9539
2015-03-23,0.9478
2015-03-24,0.9537
2015-03-25,0.947
2015-03-26,0.9371
2015-03-27,0.9515
2015-03-30,0.9509
2015-03-31,0.9586
2015-04-01,0.9526
2015-04-02,0.9499
2015-04-03,0.9502
2015-04-07,0.9496
2015-04-08,0.9432
2015-04-09,0.949
2015-04-10,0.9523
2015-04-13,0.9496
2015-04-14,0.9519
2015-04-15,0.9499
2015-04-16,0.9517
2015-04-17,0.951
2015-04-20,0.9491
2015-04-21,0.9453
2015-04-22,0.9417
2015-04-23,0.9477
2015-04-24,0.9409
2015-04-27,0.9434
2015-04-28,0.9421
2015-04-29,0.94
2015-04-30,0.935
2015-05-04,0.9351
2015-05-05,0.9333
2015-05-06,0.9335
2015-05-07,0.9297
2015-05-08,0.9332
2015-05-11,0.9432
2015-05-12,0.9441
2015-05-13,0.9424
2015-05-14,0.9377
2015-05-15,0.9346
2015-05-18,0.9304
2015-05-19,0.9391
2015-05-20,0.9427
2015-05-21,0.9478
2015-05-22,0.9497
2015-05-25,0.9619
2015-05-26,0.977
2015-05-27,0.9803
2015-05-28,0.9773
2015-05-29,0.9737
2015-06-01,0.9768
2015-06-01,0.9768
2015-06-02,0.9747
2015-06-03,0.9635
2015-06-05,0.9613
2015-06-08,0.9646
2015-06-09,0.9636
2015-06-10,0.9611
2015-06-11,0.9618
2015-06-12,0.9643
2015-06-15,0.9598
2015-06-16,0.9638
2015-06-17,0.9622
2015-06-18,0.9589
2015-06-19,0.9618
2015-06-22,0.9592
2015-06-23,0.9803
