effectiveDate,mid
2015-01-02,0.056474
2015-01-05,0.056814
2015-01-07,0.057433
2015-01-08,0.05832
2015-01-09,0.058155
2015-01-12,0.058235
2015-01-13,0.058393
2015-01-14,0.058718
2015-01-15,0.059311
2015-01-16,0.059974
2015-01-19,0.060211
2015-01-20,0.060528
2015-01-21,0.060619
2015-01-22,0.060001
2015-01-23,0.061285
2015-01-26,0.061073
2015-01-27,0.060785
2015-01-28,0.060744
2015-01-29,0.06066
2015-01-30,0.059974
2015-02-02,0.059511
2015-02-03,0.05974
2015-02-04,0.058924
2015-02-05,0.059276
2015-02-06,0.058945
2015-02-09,0.059234
2015-02-10,0.05996
2015-02-11,0.059569
2015-02-12,0.059292
2015-02-13,0.058783
2015-02-16,0.058932
2015-02-17,0.059161
2015-02-18,0.059042
2015-02-19,0.059006
2015-02-20,0.059303
2015-02-23,0.059368
2015-02-24,0.05931
2015-02-25,0.059091
2015-02-26,0.059118
2015-02-27,0.05986
2015-03-02,0.059819
2015-03-03,0.060036
2015-03-04,0.06032
2015-03-05,0.060288
2015-03-06,0.060293
2015-03-09,0.060488
2015-03-10,0.061081
2015-03-11,0.062215
2015-03-12,0.0622
2015-03-13,0.062239
2015-03-16,0.062521
2015-03-17,0.062237
2015-03-18,0.062247
2015-03-19,0.061657
2015-03-20,0.061828
2015-03-23,0.061252
2015-03-24,0.060218
2015-03-25,0.059883
2015-03-26,0.059101
2015-03-27,0.060448
2015-03-30,0.060153
2015-03-31,0.060948
2015-04-01,0.06078
2015-04-02,0.060711
2015-04-03,0.060872
2015-04-07,0.060006
2015-04-08,0.059652
2015-04-09,0.060118
2015-04-10,0.060828
2015-04-13,0.06098
2015-04-14,0.060952
2015-04-15,0.0607
2015-04-16,0.060557
2015-04-17,0.05981
2015-04-20,0.059307
2015-04-21,0.059365
2015-04-22,0.058958
2015-04-23,0.059129
2015-04-24,0.058015
2015-04-27,0.058277
2015-04-28,0.05816
2015-04-29,0.057578
2015-04-30,0.056451
2015-05-04,0.057061
2015-05-05,0.05704
2015-05-06,0.056875
2015-05-07,0.055806
2015-05-08,0.056404
2015-05-11,0.057089
2015-05-12,0.056758
2015-05-13,0.056661
2015-05-14,0.056166
2015-05-15,0.056258
2015-05-18,0.055864
2015-05-19,0.056861
2015-05-20,0.05739
2015-05-21,0.057548
2015-05-22,0.057779
2015-05-25,0.058978
2015-05-26,0.05933
2015-05-27,0.059302
2015-05-28,0.059314
2015-05-29,0.059065
2015-06-01,0.0595
2015-06-01,0.0595
2015-06-02,0.059
2015-06-03,0.057954
2015-06-05,0.057858
2015-06-08,0.058239
2015-06-09,0.057819
2015-06-10,0.057617
2015-06-11,0.057597
2015-06-12,0.057821
2015-06-15,0.05768
2015-06-16,0.057551
2015-06-17,0.057532
2015-06-18,0.057337
2015-06-19,0.057913
2015-06-22,0.057922
2015-06-23,0.058242
2015-06-24,0.058389
2015-06-25,0.058694
2015-06-26,0.05862
2015-06-29,0.058967
2015-06-30,0.059022
2015-07-01,0.05918
2015-07-02,0.059605
2015-07-03,0.05949
2015-07-06,0.059828
2015-07-07,0.060456
2015-07-08,0.060162
2015-07-09,0.060288
2015-07-10,0.059436
2015-07-13,0.05915
2015-07-14,0.059363
2015-07-15,0.059103
2015-07-16,0.059405
2015-07-17,0.059352
2015-07-20,0.059584
2015-07-21,0.059552
2015-07-22,0.05923
2015-07-23,0.058983
2015-07-24,0.058913
2015-07-27,0.058382
2015-07-28,0.058305
2015-07-29,0.058668
2015-07-30,0.059062
2015-07-31,0.059112
2015-08-03,0.058951
2015-08-04,0.059191
2015-08-05,0.060113
2015-08-06,0.060206
2015-08-07,0.060065
2015-08-10,0.059969
2015-08-11,0.059263
2015-08-12,0.058329
2015-08-13,0.057809
2015-08-14,0.057695
2015-08-17,0.057617
2015-08-18,0.057489
2015-08-19,0.057855
2015-08-20,0.057575
2015-08-21,0.056619
2015-08-24,0.055481
2015-08-25,0.055288
2015-08-26,0.055831
2015-08-27,0.056813
2015-08-28,0.056687
2015-08-31,0.056941
2015-09-01,0.056505
2015-09-02,0.056871
2015-09-03,0.05687
2015-09-04,0.057635
2015-09-07,0.056776
2015-09-08,0.056859
2015-09-09,0.056655
2015-09-10,0.056631
2015-09-11,0.056043
2015-09-14,0.055982
2015-09-15,0.056077
2015-09-16,0.056209
2015-09-17,0.056113
2015-09-18,0.055866
2015-09-21,0.056502
2015-09-22,0.056858
2015-09-23,0.057312
2015-09-24,0.057046
2015-09-25,0.057214
2015-09-28,0.057313
2015-09-29,0.057281
2015-09-30,0.057469
2015-10-01,0.057927
2015-10-02,0.058005
2015-10-05,0.057856
2015-10-06,0.057972
2015-10-07,0.057737
2015-10-08,0.057659
2015-10-09,0.057448
2015-10-12,0.057273
2015-10-13,0.057134
2015-10-14,0.057053
2015-10-15,0.05709
2015-10-16,0.057357
2015-10-19,0.057534
2015-10-20,0.057554
2015-10-21,0.057764
2015-10-22,0.058035
2015-10-23,0.058827
2015-10-26,0.059521
2015-10-27,0.059516
2015-10-28,0.059702
2015-10-29,0.059404
2015-10-30,0.059367
2015-11-02,0.058854
2015-11-03,0.058939
2015-11-04,0.059299
2015-11-05,0.059198
2015-11-06,0.059398
2015-11-09,0.059602
2015-11-10,0.059549
2015-11-12,0.059714
2015-11-13,0.059501
2015-11-16,0.060031
2015-11-17,0.060364
2015-11-18,0.06013
2015-11-19,0.060072
2015-11-20,0.059975
2015-11-23,0.059999
2015-11-24,0.060267
2015-11-25,0.060612
2015-11-26,0.060562
2015-11-27,0.060449
2015-11-30,0.060434
2015-12-01,0.060511
2015-12-02,0.060524
2015-12-03,0.060608
2015-12-04,0.05928
2015-12-07,0.059799
2015-12-08,0.059738
2015-12-09,0.059379
2015-12-10,0.05932
2015-12-11,0.059448
2015-12-14,0.059164
2015-12-15,0.058945
2015-12-16,0.059324
2015-12-17,0.059714
2015-12-18,0.059561
2015-12-21,0.059131
2015-12-22,0.058465
2015-12-23,0.058764
2015-12-24,0.058575
2015-12-28,0.058438
2015-12-29,0.05825
2015-12-30,0.058458
2015-12-31,0.058962
2016-01-04,0.059078
2016-01-05,0.060131
2016-01-07,0.059965
2016-01-08,0.059879
2016-01-11,0.060078
2016-01-12,0.060076
2016-01-13,0.059952
2016-01-14,0.059495
2016-01-15,0.059726
2016-01-18,0.06074
2016-01-19,0.060526
2016-01-20,0.060135
2016-01-21,0.060781
2016-01-22,0.060618
2016-01-25,0.06102
2016-01-26,0.061134
2016-01-27,0.060491
2016-01-28,0.060084
2016-01-29,0.059995
2016-02-01,0.059851
2016-02-02,0.059315
2016-02-03,0.05916
2016-02-04,0.058409
2016-02-05,0.058252
2016-02-08,0.058215
2016-02-09,0.058436
2016-02-10,0.058025
2016-02-11,0.057444
2016-02-12,0.057264
2016-02-15,0.057584
2016-02-16,0.057583
2016-02-17,0.057611
2016-02-18,0.057599
2016-02-19,0.057463
2016-02-22,0.057418
2016-02-23,0.057902
2016-02-24,0.058065
2016-02-25,0.057764
2016-02-26,0.057552
2016-02-29,0.058356
2016-03-01,0.058693
2016-03-02,0.05894
2016-03-03,0.059081
2016-03-04,0.058766
2016-03-07,0.058853
2016-03-08,0.05835
2016-03-09,0.058565
2016-03-10,0.058674
2016-03-11,0.057882
2016-03-14,0.057417
2016-03-15,0.057401
2016-03-16,0.057564
2016-03-17,0.057071
2016-03-18,0.05694
2016-03-21,0.056895
2016-03-22,0.056912
2016-03-23,0.056885
2016-03-24,0.057148
2016-03-25,0.057034
2016-03-29,0.057063
2016-03-30,0.056563
2016-03-31,0.056814
2016-04-01,0.056067
2016-04-04,0.056331
2016-04-05,0.056153
2016-04-06,0.056252
2016-04-07,0.056272
2016-04-08,0.056591
2016-04-11,0.056596
2016-04-12,0.056411
2016-04-13,0.056773
2016-04-14,0.057294
2016-04-15,0.057352
2016-04-18,0.057155
2016-04-19,0.05715
2016-04-20,0.057217
2016-04-21,0.057291
2016-04-22,0.057668
2016-04-25,0.05841
2016-04-26,0.058524
2016-04-27,0.058381
2016-04-28,0.058183
2016-04-29,0.058258
2016-05-02,0.057494
2016-05-04,0.057483
2016-05-05,0.057849
2016-05-06,0.058178
2016-05-09,0.058294
2016-05-10,0.058303
2016-05-11,0.058212
2016-05-12,0.058264
2016-05-13,0.058076
2016-05-16,0.057817
2016-05-17,0.057697
2016-05-18,0.058245
2016-05-19,0.058175
2016-05-20,0.058266
2016-05-23,0.058643
2016-05-24,0.058769
2016-05-25,0.058866
2016-05-27,0.058896
2016-05-30,0.058672
2016-05-31,0.058548
2016-06-01,0.058355
2016-06-01,0.058355
2016-06-02,0.058281
2016-06-03,0.058504
2016-06-06,0.057678
2016-06-07,0.057401
2016-06-08,0.057203
2016-06-09,0.057158
2016-06-10,0.057677
2016-06-13,0.058011
2016-06-14,0.058689
2016-06-15,0.058666
2016-06-16,0.058689
2016-06-17,0.058642
2016-06-20,0.057497
2016-06-21,0.057383
2016-06-22,0.057634
2016-06-23,0.057293
2016-06-24,0.058967
2016-06-27,0.059242
2016-06-28,0.058917
2016-06-29,0.058959
2016-06-30,0.058936
2016-07-01,0.058671
2016-07-04,0.059337
2016-07-05,0.059157
2016-07-06,0.059554
2016-07-07,0.059511
2016-07-08,0.059381
2016-07-11,0.059661
2016-07-12,0.059301
2016-07-13,0.059309
2016-07-14,0.059358
2016-07-15,0.059076
2016-07-18,0.059386
2016-07-19,0.058969
2016-07-20,0.059217
2016-07-21,0.059058
2016-07-22,0.058878
2016-07-25,0.059011
2016-07-26,0.058986
2016-07-27,0.059139
2016-07-28,0.058749
2016-07-29,0.058707
2016-08-01,0.058558
2016-08-02,0.058188
2016-08-03,0.05754
2016-08-04,0.057668
2016-08-05,0.057727
2016-08-08,0.057989
2016-08-09,0.057545
2016-08-10,0.057282
2016-08-11,0.057338
2016-08-12,0.057166
2016-08-16,0.05674
2016-08-17,0.056881
2016-08-18,0.056629
2016-08-19,0.056504
2016-08-22,0.056663
2016-08-23,0.056725
2016-08-24,0.056874
2016-08-25,0.056955
2016-08-26,0.057186
2016-08-29,0.057756
2016-08-30,0.057933
2016-08-31,0.058369
2016-09-01,0.058419
2016-09-02,0.058582
2016-09-05,0.058594
2016-09-06,0.058446
2016-09-07,0.058016
2016-09-08,0.057554
2016-09-09,0.057589
2016-09-12,0.057954
2016-09-13,0.057973
2016-09-14,0.057878
2016-09-15,0.057604
