effectiveDate,mid
2015-01-02,0.029671
2015-01-05,0.029926
2015-01-07,0.030604
2015-01-08,0.030467
2015-01-09,0.030383
2015-01-12,0.0304
2015-01-13,0.030576
2015-01-14,0.031206
2015-01-15,0.031281
2015-01-16,0.031931
2015-01-19,0.031698
2015-01-20,0.031573
2015-01-21,0.031731
2015-01-22,0.031434
2015-01-23,0.031834
2015-01-26,0.031824
2015-01-27,0.031624
2015-01-28,0.031636
2015-01-29,0.031756
2015-01-30,0.031624
2015-02-02,0.03126
2015-02-03,0.031426
2015-02-04,0.031083
2015-02-05,0.031237
2015-02-06,0.031037
2015-02-09,0.031066
2015-02-10,0.031331
2015-02-11,0.03096
2015-02-12,0.030862
2015-02-13,0.030753
2015-02-16,0.030917
2015-02-17,0.030983
2015-02-18,0.030868
2015-02-19,0.030821
2015-02-20,0.031088
2015-02-23,0.030967
2015-02-24,0.030913
2015-02-25,0.030872
2015-02-26,0.030764
2015-02-27,0.03097
2015-03-02,0.030916
2015-03-03,0.031051
2015-03-04,0.031348
2015-03-05,0.031284
2015-03-06,0.031364
2015-03-09,0.031364
2015-03-10,0.031448
2015-03-11,0.032163
2015-03-12,0.032126
2015-03-13,0.032225
2015-03-16,0.032356
2015-03-17,0.032178
2015-03-18,0.03223
2015-03-19,0.032003
2015-03-20,0.031898
2015-03-23,0.031822
2015-03-24,0.031341
2015-03-25,0.031228
2015-03-26,0.031268
2015-03-27,0.031739
2015-03-30,0.031487
2015-03-31,0.031744
2015-04-01,0.031505
2015-04-02,0.031392
2015-04-03,0.031295
2015-04-07,0.031205
2015-04-08,0.030987
2015-04-09,0.031114
2015-04-10,0.031512
2015-04-13,0.031522
2015-04-14,0.031729
2015-04-15,0.031685
2015-04-16,0.031655
2015-04-17,0.031355
2015-04-20,0.031393
2015-04-21,0.031171
2015-04-22,0.031086
2015-04-23,0.03114
2015-04-24,0.03088
2015-04-27,0.03114
2015-04-28,0.03088
2015-04-29,0.030541
2015-04-30,0.030274
2015-05-04,0.030235
2015-05-05,0.0301
2015-05-06,0.030158
2015-05-07,0.030017
2015-05-08,0.030064
2015-05-11,0.030438
2015-05-12,0.030362
2015-05-13,0.03031
2015-05-14,0.030121
2015-05-15,0.029891
2015-05-18,0.029693
2015-05-19,0.030124
2015-05-20,0.030234
2015-05-21,0.030286
2015-05-22,0.030375
2015-05-25,0.03083
2015-05-26,0.030869
2015-05-27,0.030812
2015-05-28,0.030559
2015-05-29,0.030437
2015-06-01,0.030521
2015-06-01,0.030521
2015-06-02,0.030249
2015-06-03,0.029844
2015-06-05,0.029615
2015-06-08,0.029808
2015-06-09,0.029741
2015-06-10,0.029967
2015-06-11,0.029801
2015-06-12,0.029976
2015-06-15,0.02988
2015-06-16,0.02989
2015-06-17,0.029772
2015-06-18,0.029761
2015-06-19,0.029982
2015-06-22,0.029903
2015-06-23,0.029955
2015-06-24,0.02996
2015-06-25,0.030157
2015-06-26,0.030204
2015-06-29,0.030644
2015-06-30,0.030843
2015-07-01,0.030614
2015-07-02,0.030653
2015-07-03,0.03066
2015-07-06,0.030968
2015-07-07,0.031243
2015-07-08,0.031426
2015-07-09,0.031528
2015-07-10,0.03087
2015-07-13,0.030423
2015-07-14,0.030514
2015-07-15,0.030319
2015-07-16,0.030419
2015-07-17,0.03036
2015-07-20,0.030469
2015-07-21,0.030463
2015-07-22,0.030417
2015-07-23,0.030343
2015-07-24,0.030374
2015-07-27,0.03033
2015-07-28,0.030152
2015-07-29,0.030308
2015-07-30,0.030412
2015-07-31,0.030529
2015-08-03,0.030362
2015-08-04,0.03049
2015-08-05,0.03084
2015-08-06,0.030738
2015-08-07,0.03072
2015-08-10,0.030667
2015-08-11,0.030514
2015-08-12,0.030333
2015-08-13,0.030197
2015-08-14,0.03023
2015-08-17,0.030216
2015-08-18,0.030228
2015-08-19,0.030356
2015-08-20,0.030381
2015-08-21,0.030344
2015-08-24,0.030624
