effectiveDate,mid
2015-01-02,0.003232
2015-01-05,0.003241
2015-01-07,0.003303
2015-01-08,0.003331
2015-01-09,0.003321
2015-01-12,0.003339
2015-01-13,0.003345
2015-01-14,0.003375
2015-01-15,0.003405
2015-01-16,0.003448
2015-01-19,0.003443
2015-01-20,0.003434
2015-01-21,0.003444
2015-01-22,0.003409
2015-01-23,0.00348
2015-01-26,0.003475
2015-01-27,0.003466
2015-01-28,0.003441
2015-01-29,0.003411
2015-01-30,0.00339
2015-02-02,0.003338
2015-02-03,0.003354
2015-02-04,0.003358
2015-02-05,0.003361
2015-02-06,0.003341
2015-02-09,0.003358
2015-02-10,0.003405
2015-02-11,0.00336
2015-02-12,0.003336
2015-02-13,0.003322
2015-02-16,0.003329
2015-02-17,0.003331
2015-02-18,0.003306
2015-02-19,0.003301
2015-02-20,0.003318
2015-02-23,0.003327
2015-02-24,0.003317
2015-02-25,0.003338
2015-02-26,0.003338
2015-02-27,0.003361
2015-03-02,0.003364
2015-03-03,0.003388
2015-03-04,0.00341
2015-03-05,0.00341
2015-03-06,0.003422
2015-03-09,0.003408
2015-03-10,0.003409
2015-03-11,0.003465
2015-03-12,0.003461
2015-03-13,0.003455
2015-03-16,0.003469
2015-03-17,0.003464
2015-03-18,0.00346
2015-03-19,0.003445
2015-03-20,0.003432
2015-03-23,0.003428
2015-03-24,0.003394
2015-03-25,0.003389
2015-03-26,0.003351
2015-03-27,0.003423
2015-03-30,0.003408
2015-03-31,0.003436
2015-04-01,0.00343
2015-04-02,0.003432
2015-04-03,0.00343
2015-04-07,0.003431
2015-04-08,0.003404
2015-04-09,0.003428
2015-04-10,0.003465
2015-04-13,0.003452
2015-04-14,0.003467
2015-04-15,0.003452
2015-04-16,0.003467
2015-04-17,0.003448
2015-04-20,0.003454
2015-04-21,0.003443
2015-04-22,0.003441
2015-04-23,0.003448
2015-04-24,0.003419
2015-04-27,0.003457
2015-04-28,0.003432
2015-04-29,0.003408
2015-04-30,0.003349
2015-05-04,0.00336
2015-05-05,0.003341
2015-05-06,0.00334
2015-05-07,0.003279
2015-05-08,0.003311
2015-05-11,0.003342
2015-05-12,0.003324
2015-05-13,0.003307
2015-05-14,0.003289
2015-05-15,0.003288
2015-05-18,0.00327
2015-05-19,0.003318
2015-05-20,0.003334
2015-05-21,0.003351
2015-05-22,0.003365
2015-05-25,0.003416
2015-05-26,0.003425
2015-05-27,0.003432
2015-05-28,0.003424
2015-05-29,0.003399
2015-06-01,0.003403
2015-06-01,0.003403
2015-06-02,0.003385
2015-06-03,0.003351
2015-06-05,0.00332
2015-06-08,0.003329
2015-06-09,0.003301
2015-06-10,0.003313
2015-06-11,0.003311
2015-06-12,0.003319
2015-06-15,0.003303
2015-06-16,0.003301
2015-06-17,0.003296
2015-06-18,0.003312
2015-06-19,0.003328
2015-06-22,0.003344
2015-06-23,0.003353
2015-06-24,0.003349
2015-06-25,0.003356
2015-06-26,0.003329
2015-06-29,0.003354
2015-06-30,0.003372
2015-07-01,0.00336
2015-07-02,0.003362
2015-07-03,0.003357
2015-07-06,0.003373
2015-07-07,0.00338
2015-07-08,0.003363
2015-07-09,0.003376
2015-07-10,0.003336
2015-07-13,0.003317
2015-07-14,0.003297
2015-07-15,0.003274
2015-07-16,0.003284
2015-07-17,0.003286
2015-07-20,0.003278
2015-07-21,0.003281
2015-07-22,0.003265
2015-07-23,0.003235
2015-07-24,0.003218
2015-07-27,0.003208
2015-07-28,0.003199
2015-07-29,0.003235
2015-07-30,0.003227
2015-07-31,0.003236
2015-08-03,0.00323
2015-08-04,0.003249
2015-08-05,0.003275
2015-08-06,0.003285
2015-08-07,0.00329
2015-08-10,0.003285
2015-08-11,0.003227
2015-08-12,0.003198
2015-08-13,0.003203
2015-08-14,0.003182
2015-08-17,0.003179
2015-08-18,0.003179
2015-08-19,0.00319
2015-08-20,0.003164
2015-08-21,0.003128
2015-08-24,0.003072
2015-08-25,0.003094
2015-08-26,0.00311
2015-08-27,0.003174
2015-08-28,0.003187
2015-08-31,0.003194
2015-09-01,0.003191
2015-09-02,0.003178
2015-09-03,0.003162
2015-09-04,0.003187
2015-09-07,0.003149
2015-09-08,0.003161
2015-09-09,0.003154
2015-09-10,0.003178
2015-09-11,0.003143
2015-09-14,0.003141
2015-09-15,0.003153
2015-09-16,0.003178
2015-09-17,0.003182
2015-09-18,0.003165
2015-09-21,0.003153
2015-09-22,0.003166
2015-09-23,0.003177
2015-09-24,0.003154
2015-09-25,0.003171
2015-09-28,0.003172
2015-09-29,0.003153
2015-09-30,0.003195
2015-10-01,0.00323
2015-10-02,0.003215
2015-10-05,0.003233
2015-10-06,0.003245
2015-10-07,0.003249
2015-10-08,0.003233
2015-10-09,0.003259
2015-10-12,0.003248
2015-10-13,0.003233
2015-10-14,0.003242
2015-10-15,0.003294
2015-10-16,0.003289
2015-10-19,0.003313
2015-10-20,0.003305
2015-10-21,0.00331
2015-10-22,0.003326
2015-10-23,0.003385
2015-10-26,0.00341
2015-10-27,0.00341
2015-10-28,0.003435
2015-10-29,0.003407
2015-10-30,0.003404
2015-11-02,0.003382
2015-11-03,0.003413
2015-11-04,0.003434
2015-11-05,0.003418
2015-11-06,0.003422
2015-11-09,0.00341
2015-11-10,0.003412
2015-11-12,0.003401
2015-11-13,0.003376
2015-11-16,0.003382
2015-11-17,0.0034
2015-11-18,0.003403
2015-11-19,0.00342
2015-11-20,0.003436
2015-11-23,0.003437
2015-11-24,0.003467
2015-11-25,0.003511
2015-11-26,0.003503
2015-11-27,0.00349
2015-11-30,0.003479
2015-12-01,0.003476
2015-12-02,0.003467
2015-12-03,0.003473
2015-12-04,0.003407
2015-12-07,0.00341
2015-12-08,0.003382
2015-12-09,0.003353
2015-12-10,0.003354
2015-12-11,0.003359
2015-12-14,0.003345
2015-12-15,0.003347
2015-12-16,0.003365
2015-12-17,0.003357
2015-12-18,0.003351
2015-12-21,0.003326
2015-12-22,0.003314
2015-12-23,0.003299
2015-12-24,0.003311
2015-12-28,0.003317
2015-12-29,0.003304
2015-12-30,0.003309
2015-12-31,0.003317
2016-01-04,0.003305
2016-01-05,0.003365
2016-01-07,0.00334
2016-01-08,0.003326
2016-01-11,0.003329
2016-01-12,0.00332
2016-01-13,0.00333
2016-01-14,0.003289
2016-01-15,0.003323
2016-01-18,0.003396
2016-01-19,0.003395
2016-01-20,0.003365
2016-01-21,0.003406
2016-01-22,0.00343
2016-01-25,0.003455
2016-01-26,0.003449
