effectiveDate,mid
2015-01-02,0.2415
2015-01-05,0.2422
2015-01-07,0.2444
2015-01-08,0.2484
2015-01-09,0.2467
2015-01-12,0.2478
2015-01-13,0.2473
2015-01-14,0.2488
2015-01-15,0.2513
2015-01-16,0.2531
2015-01-19,0.2565
2015-01-20,0.2546
2015-01-21,0.2546
2015-01-22,0.2512
2015-01-23,0.2574
2015-01-26,0.2563
2015-01-27,0.2557
2015-01-28,0.2547
2015-01-29,0.2538
2015-01-30,0.2513
2015-02-02,0.2462
2015-02-03,0.2483
2015-02-04,0.2479
2015-02-05,0.2474
2015-02-06,0.2465
2015-02-09,0.2478
2015-02-10,0.251
2015-02-11,0.2482
2015-02-12,0.2457
2015-02-13,0.2445
2015-02-16,0.2463
2015-02-17,0.2474
2015-02-18,0.246
2015-02-19,0.2458
2015-02-20,0.2462
2015-02-23,0.2445
2015-02-24,0.2444
2015-02-25,0.2459
2015-02-26,0.2458
2015-02-27,0.2466
2015-03-02,0.2482
2015-03-03,0.2481
2015-03-04,0.2493
2015-03-05,0.249
2015-03-06,0.2474
2015-03-09,0.2457
2015-03-10,0.2463
2015-03-11,0.2502
2015-03-12,0.2524
2015-03-13,0.2528
2015-03-16,0.2538
2015-03-17,0.2531
2015-03-18,0.2539
2015-03-19,0.2542
2015-03-20,0.2537
2015-03-23,0.2541
2015-03-24,0.2512
2015-03-25,0.2501
2015-03-26,0.247
2015-03-27,0.2499
2015-03-30,0.2475
2015-03-31,0.2487
2015-04-01,0.248
2015-04-02,0.2478
2015-04-03,0.2492
2015-04-07,0.2507
2015-04-08,0.2492
2015-04-09,0.2502
2015-04-10,0.2505
2015-04-13,0.2484
2015-04-14,0.247
2015-04-15,0.247
2015-04-16,0.2465
2015-04-17,0.2459
2015-04-20,0.2435
2015-04-21,0.2414
2015-04-22,0.2412
2015-04-23,0.2414
2015-04-24,0.2403
2015-04-27,0.241
2015-04-28,0.2393
2015-04-29,0.2385
2015-04-30,0.2361
2015-05-04,0.234
2015-05-05,0.2343
2015-05-06,0.2354
2015-05-07,0.233
2015-05-08,0.2361
2015-05-11,0.2402
2015-05-12,0.2379
2015-05-13,0.2378
2015-05-14,0.2356
2015-05-15,0.2362
2015-05-18,0.2363
2015-05-19,0.2392
2015-05-20,0.2405
2015-05-21,0.2418
2015-05-22,0.2415
2015-05-25,0.2457
2015-05-26,0.2479
2015-05-27,0.2484
2015-05-28,0.2475
2015-05-29,0.2457
2015-06-01,0.2456
2015-06-01,0.2456
2015-06-02,0.2433
2015-06-03,0.24
2015-06-05,0.2372
2015-06-08,0.2377
2015-06-09,0.2363
2015-06-10,0.2373
2015-06-11,0.2374
2015-06-12,0.2407
2015-06-15,0.2392
2015-06-16,0.2391
2015-06-17,0.2392
2015-06-18,0.2401
2015-06-19,0.2402
2015-06-22,0.24
2015-06-23,0.2418
2015-06-24,0.2415
2015-06-25,0.2407
2015-06-26,0.2401
2015-06-29,0.2411
2015-06-30,0.2395
2015-07-01,0.239
2015-07-02,0.2395
2015-07-03,0.2405
2015-07-06,0.2403
2015-07-07,0.2427
2015-07-08,0.2413
