effectiveDate,mid
2015-01-02,1.0153
2015-01-05,1.0166
2015-01-07,1.0156
2015-01-08,1.0243
2015-01-09,1.0173
2015-01-12,1.0149
2015-01-13,1.0087
2015-01-14,1.0163
2015-01-15,1.0274
2015-01-16,1.0449
2015-01-19,1.0409
2015-01-20,1.0339
2015-01-21,1.0345
2015-01-22,1.0286
2015-01-23,1.0316
2015-01-26,1.0422
2015-01-27,1.0375
2015-01-28,1.0301
2015-01-29,1.0305
2015-01-30,1.0225
2015-02-02,1.0109
2015-02-03,1.0242
2015-02-04,1.0246
2015-02-05,1.0268
2015-02-06,1.0303
2015-02-09,1.0339
2015-02-10,1.0399
2015-02-11,1.0295
2015-02-12,1.023
2015-02-13,1.0225
2015-02-16,1.0239
2015-02-17,1.0287
2015-02-18,1.0158
2015-02-19,1.0109
2015-02-20,1.0108
2015-02-23,1.0134
2015-02-24,1.0113
2015-02-25,1.017
2015-02-26,1.0198
2015-02-27,1.0244
2015-03-02,1.0228
2015-03-03,1.0249
2015-03-04,1.0278
2015-03-05,1.0267
2015-03-06,1.0311
2015-03-09,1.0312
2015-03-10,1.0334
2015-03-11,1.0546
2015-03-12,1.0515
2015-03-13,1.0576
2015-03-16,1.0536
2015-03-17,1.0555
2015-03-18,1.0531
2015-03-19,1.0425
2015-03-20,1.0345
2015-03-23,1.0355
2015-03-24,1.0264
2015-03-25,1.0222
2015-03-26,1.0212
2015-03-27,1.0284
2015-03-30,1.0237
2015-03-31,1.0293
2015-04-01,1.0234
2015-04-02,1.0232
2015-04-03,1.0245
2015-04-07,1.0291
2015-04-08,1.0235
2015-04-09,1.0212
2015-04-10,1.0212
2015-04-13,1.0212
2015-04-14,1.0184
2015-04-15,1.0186
2015-04-16,1.0192
2015-04-17,1.0283
2015-04-20,1.0298
2015-04-21,1.0253
2015-04-22,1.0287
2015-04-23,1.0308
2015-04-24,1.0309
2015-04-27,1.0406
2015-04-28,1.0333
2015-04-29,1.0234
2015-04-30,1.0097
2015-05-04,1.0095
2015-05-05,1.0017
2015-05-06,1.0114
2015-05-07,1.0066
2015-05-08,1.0032
2015-05-11,1.0133
2015-05-12,1.0199
2015-05-13,1.0096
2015-05-14,1.0026
2015-05-15,1.002
2015-05-18,0.9959
2015-05-19,1.0034
2015-05-20,1.0113
2015-05-21,1.0167
2015-05-22,1.0236
2015-05-25,1.0362
2015-05-26,1.0395
2015-05-27,1.0431
2015-05-28,1.0392
2015-05-29,1.0342
2015-06-01,1.0331
2015-06-01,1.0331
2015-06-02,1.036
2015-06-03,1.0066
2015-06-05,0.9927
2015-06-08,1.0001
2015-06-09,0.985
2015-06-10,0.9845
2015-06-11,0.983
2015-06-12,0.9861
2015-06-15,0.9818
2015-06-16,0.9849
2015-06-17,0.9813
2015-06-18,0.9852
2015-06-19,0.9855
2015-06-22,0.9858
2015-06-23,0.9906
2015-06-24,0.9891
2015-06-25,0.9928
2015-06-26,0.989
2015-06-29,0.9952
2015-06-30,0.9968
2015-07-01,1.0031
2015-07-02,1.0027
2015-07-03,0.9982
2015-07-06,0.996
2015-07-07,1.0035
2015-07-08,1.0032
2015-07-09,1.0088
2015-07-10,0.9944
2015-07-13,0.9866
2015-07-14,0.9892
2015-07-15,0.9855
2015-07-16,0.9903
2015-07-17,0.992
2015-07-20,0.9947
2015-07-21,0.9939
2015-07-22,0.9924
2015-07-23,0.9958
2015-07-24,0.9885
2015-07-27,0.9803
2015-07-28,0.9781
2015-07-29,0.9839
2015-07-30,0.9884
2015-07-31,0.9888
2015-08-03,0.9789
2015-08-04,0.9821
2015-08-05,0.9897
2015-08-06,0.9893
2015-08-07,0.9759
2015-08-10,0.9703
2015-08-11,0.9717
2015-08-12,0.9731
2015-08-13,0.9371
2015-08-14,0.9322
2015-08-17,0.9179
2015-08-18,0.92
2015-08-19,0.9186
2015-08-20,0.9233
2015-08-21,0.9248
2015-08-24,0.933
2015-08-25,0.8725
2015-08-26,0.8707
2015-08-27,0.8744
2015-08-28,0.8758
2015-08-31,0.8762
2015-09-01,0.9005
2015-09-02,0.8914
2015-09-03,0.8861
2015-09-04,0.8909
2015-09-07,0.8894
2015-09-08,0.873
2015-09-09,0.8729
2015-09-10,0.8727
2015-09-11,0.875
2015-09-14,0.8752
2015-09-15,0.866
2015-09-16,0.8805
2015-09-17,0.8741
2015-09-18,0.87
2015-09-21,0.8677
2015-09-22,0.8703
2015-09-23,0.8699
2015-09-24,0.8561
2015-09-25,0.8428
2015-09-28,0.8574
2015-09-29,0.8481
2015-09-30,0.8593
2015-10-01,0.8622
2015-10-02,0.8616
2015-10-05,0.863
2015-10-06,0.8656
2015-10-07,0.8882
2015-10-08,0.8917
2015-10-09,0.9029
2015-10-12,0.8953
2015-10-13,0.8886
2015-10-14,0.8845
2015-10-15,0.896
2015-10-16,0.8901
2015-10-19,0.884
2015-10-20,0.8754
2015-10-21,0.8781
2015-10-22,0.8823
2015-10-23,0.901
2015-10-26,0.9145
2015-10-27,0.9084
2015-10-28,0.9084
2015-10-29,0.9033
2015-10-30,0.8998
2015-11-02,0.8985
2015-11-03,0.9015
2015-11-04,0.9113
2015-11-05,0.9042
2015-11-06,0.9064
2015-11-09,0.9034
2015-11-10,0.9015
2015-11-12,0.9041
2015-11-13,0.8995
2015-11-16,0.9032
2015-11-17,0.9072
2015-11-18,0.9135
2015-11-19,0.9168
2015-11-20,0.926
2015-11-23,0.9245
2015-11-24,0.9447
2015-11-25,0.9523
2015-11-26,0.9549
2015-11-27,0.9496
2015-11-30,0.9467
2015-12-01,0.9512
2015-12-02,0.9516
2015-12-03,0.9563
2015-12-04,0.9398
2015-12-07,0.9468
2015-12-08,0.9332
2015-12-09,0.9286
2015-12-10,0.9285
2015-12-11,0.923
2015-12-14,0.9163
2015-12-15,0.9186
2015-12-16,0.918
2015-12-17,0.9187
2015-12-18,0.9241
2015-12-21,0.9122
2015-12-22,0.9014
2015-12-23,0.9017
2015-12-24,0.9024
2015-12-28,0.8995
2015-12-29,0.9
2015-12-30,0.9038
2015-12-31,0.9083
2016-01-04,0.9042
2016-01-05,0.9221
2016-01-07,0.9113
2016-01-08,0.91
2016-01-11,0.9148
2016-01-12,0.9119
2016-01-13,0.9151
2016-01-14,0.9086
2016-01-15,0.9139
2016-01-18,0.9342
2016-01-19,0.9391
2016-01-20,0.9327
2016-01-21,0.9447
2016-01-22,0.9582
2016-01-25,0.9709
2016-01-26,0.9691
2016-01-27,0.9693
2016-01-28,0.9739
2016-01-29,0.9811
2016-02-01,0.9766
2016-02-02,0.9553
2016-02-03,0.956
2016-02-04,0.9558
2016-02-05,0.9529
2016-02-08,0.9497
2016-02-09,0.9544
2016-02-10,0.9556
2016-02-11,0.947
2016-02-12,0.9398
2016-02-15,0.948
2016-02-16,0.9459
2016-02-17,0.9366
2016-02-18,0.9491
2016-02-19,0.9381
2016-02-22,0.9408
2016-02-23,0.9431
2016-02-24,0.9401
2016-02-25,0.9414
2016-02-26,0.9404
2016-02-29,0.9486
2016-03-01,0.9569
2016-03-02,0.9569
2016-03-03,0.9633
2016-03-04,0.9654
2016-03-07,0.9656
2016-03-08,0.9572
2016-03-09,0.9565
2016-03-10,0.9606
2016-03-11,0.9533
2016-03-14,0.9367
2016-03-15,0.9324
2016-03-16,0.9325
2016-03-17,0.9374
2016-03-18,0.933
2016-03-21,0.9317
2016-03-22,0.9465
2016-03-23,0.9453
2016-03-24,0.9493
2016-03-25,0.9474
2016-03-29,0.9527
2016-03-30,0.9533
2016-03-31,0.9635
2016-04-01,0.9555
2016-04-04,0.9554
2016-04-05,0.952
2016-04-06,0.9569
2016-04-07,0.9552
2016-04-08,0.9664
2016-04-11,0.9665
2016-04-12,0.9667
2016-04-13,0.9754
2016-04-14,0.9815
2016-04-15,0.9777
2016-04-18,0.9675
2016-04-19,0.9758
2016-04-20,0.9794
2016-04-21,0.9776
2016-04-22,0.9843
2016-04-25,0.9967
2016-04-26,0.9905
2016-04-27,0.991
2016-04-28,0.9927
2016-04-29,0.9905
2016-05-02,0.9733
2016-05-04,0.9563
2016-05-05,0.9594
2016-05-06,0.9664
2016-05-09,0.965
2016-05-10,0.9603
2016-05-11,0.9612
2016-05-12,0.9645
2016-05-13,0.9617
2016-05-16,0.959
2016-05-17,0.9578
2016-05-18,0.9621
2016-05-19,0.9595
2016-05-20,0.9632
2016-05-23,0.9677
2016-05-24,0.9651
2016-05-25,0.967
2016-05-27,0.9667
2016-05-30,0.9588
2016-05-31,0.9527
2016-06-01,0.9482
2016-06-01,0.9482
2016-06-02,0.9448
2016-06-03,0.9504
2016-06-06,0.9413
2016-06-07,0.9452
2016-06-08,0.9389
2016-06-09,0.9426
2016-06-10,0.9461
2016-06-13,0.9523
2016-06-14,0.9615
2016-06-15,0.9603
2016-06-16,0.9629
2016-06-17,0.961
2016-06-20,0.9533
2016-06-21,0.9613
2016-06-22,0.9648
2016-06-23,0.9616
2016-06-24,0.9768
2016-06-27,0.9823
2016-06-28,0.982
2016-06-29,0.9888
2016-06-30,0.9885
2016-07-01,0.9896
2016-07-04,0.998
2016-07-05,0.9928
2016-07-06,0.9931
2016-07-07,0.9981
2016-07-08,0.9914
2016-07-11,1.0031
2016-07-12,1.0008
2016-07-13,1.0035
2016-07-14,1.0057
2016-07-15,1.0035
2016-07-18,1.0027
2016-07-19,0.9901
2016-07-20,0.9867
2016-07-21,0.9809
2016-07-22,0.9729
2016-07-25,0.9736
2016-07-26,0.9754
2016-07-27,0.9739
2016-07-28,0.9715
2016-07-29,0.9655
2016-08-01,0.9718
2016-08-02,0.9573
2016-08-03,0.9512
2016-08-04,0.9529
2016-08-05,0.9569
2016-08-08,0.9594
2016-08-09,0.9564
2016-08-10,0.9578
2016-08-11,0.9564
2016-08-12,0.9497
2016-08-16,0.9501
2016-08-17,0.9492
2016-08-18,0.9469
2016-08-19,0.9417
2016-08-22,0.9451
2016-08-23,0.945
2016-08-24,0.9463
2016-08-25,0.9485
2016-08-26,0.9537
2016-08-29,0.9589
2016-08-30,0.9585
2016-08-31,0.9611
2016-09-01,0.9584
2016-09-02,0.9577
2016-09-05,0.9563
2016-09-06,0.952
2016-09-07,0.9468
2016-09-08,0.9476
2016-09-09,0.9426
2016-09-12,0.9351
2016-09-13,0.9427
2016-09-14,0.9388
2016-09-15,0.9308
2016-09-16,0.9318
2016-09-19,0.9309
2016-09-20,0.9283
2016-09-21,0.9328
2016-09-22,0.9279
2016-09-23,0.9295
2016-09-26,0.926
2016-09-27,0.9254
2016-09-28,0.9249
2016-09-29,0.9309
2016-09-30,0.932
2016-10-03,0.93
2016-10-04,0.9324
2016-10-05,0.9255
2016-10-06,0.9274
2016-10-07,0.9265
2016-10-10,0.9239
2016-10-11,0.9216
2016-10-12,0.924
2016-10-13,0.9285
2016-10-14,0.9291
2016-10-17,0.9317
2016-10-18,0.934
2016-10-19,0.938
2016-10-20,0.9405
2016-10-21,0.9513
2016-10-24,0.9521
2016-10-25,0.9517
2016-10-26,0.9508
2016-10-27,0.9489
2016-10-28,0.9447
2016-10-31,0.9412
2016-11-02,0.9302
2016-11-03,0.9312
2016-11-04,0.925
2016-11-07,0.9289
2016-11-08,0.9318
2016-11-09,0.9283
2016-11-10,0.9311
2016-11-14,0.945
2016-11-15,0.943
2016-11-16,0.9509
2016-11-17,0.9517
2016-11-18,0.9538
2016-11-21,0.9518
2016-11-22,0.9477
2016-11-23,0.9463
2016-11-24,0.9491
2016-11-25,0.9457
2016-11-28,0.9475
2016-11-29,0.9505
2016-11-30,0.9517
2016-12-01,0.9568
2016-12-02,0.9468
2016-12-05,0.9492
2016-12-06,0.9431
2016-12-07,0.931
2016-12-08,0.9297
2016-12-09,0.9443
2016-12-12,0.9514
2016-12-13,0.9447
2016-12-14,0.9396
2016-12-15,0.9482
2016-12-16,0.9446
2016-12-19,0.9438
2016-12-20,0.9488
2016-12-21,0.9485
2016-12-22,0.9432
2016-12-23,0.9433
2016-12-27,0.9406
2016-12-28,0.943
2016-12-29,0.94
2016-12-30,0.9314
2017-01-02,0.9387
2017-01-03,0.9416
2017-01-04,0.9346
2017-01-05,0.9289
2017-01-09,0.9292
2017-01-10,0.9224
2017-01-11,0.9273
2017-01-12,0.9218
2017-01-13,0.9207
2017-01-16,0.9259
