effectiveDate,mid
2015-01-02,0.4761
2015-01-05,0.4714
2015-01-07,0.4639
2015-01-08,0.4759
2015-01-09,0.4735
2015-01-12,0.4687
2015-01-13,0.4699
2015-01-14,0.4725
2015-01-15,0.4723
2015-01-16,0.4826
2015-01-19,0.4908
2015-01-20,0.4911
2015-01-21,0.4886
2015-01-22,0.4864
2015-01-23,0.4865
2015-01-26,0.4855
2015-01-27,0.4811
2015-01-28,0.4829
2015-01-29,0.4808
2015-01-30,0.4775
2015-02-02,0.477
2015-02-03,0.4847
2015-02-04,0.4826
2015-02-05,0.4821
2015-02-06,0.4866
2015-02-09,0.4831
2015-02-10,0.4904
2015-02-11,0.4897
2015-02-12,0.4817
2015-02-13,0.4815
2015-02-16,0.4857
2015-02-17,0.489
2015-02-18,0.4894
2015-02-19,0.4841
2015-02-20,0.4858
2015-02-23,0.4855
2015-02-24,0.4845
2015-02-25,0.4835
2015-02-26,0.4853
2015-02-27,0.4839
2015-03-02,0.483
2015-03-03,0.4833
2015-03-04,0.4846
2015-03-05,0.4825
2015-03-06,0.4828
2015-03-09,0.4805
2015-03-10,0.4761
2015-03-11,0.4794
2015-03-12,0.4796
2015-03-13,0.4811
2015-03-16,0.4781
2015-03-17,0.4703
2015-03-18,0.4692
2015-03-19,0.4793
2015-03-20,0.4776
2015-03-23,0.4761
2015-03-24,0.4767
2015-03-25,0.4766
2015-03-26,0.4776
2015-03-27,0.4727
2015-03-30,0.4718
2015-03-31,0.4701
2015-04-01,0.4672
2015-04-02,0.4707
2015-04-03,0.4685
2015-04-07,0.466
2015-04-08,0.4642
2015-04-09,0.4624
2015-04-10,0.4655
2015-04-13,0.4694
2015-04-14,0.4721
2015-04-15,0.4755
2015-04-16,0.4801
2015-04-17,0.4792
2015-04-20,0.4791
2015-04-21,0.4719
2015-04-22,0.4738
2015-04-23,0.4711
2015-04-24,0.473
2015-04-27,0.4773
2015-04-28,0.4777
2015-04-29,0.4765
2015-04-30,0.48
2015-05-04,0.478
2015-05-05,0.4728
2015-05-06,0.4802
2015-05-07,0.4887
2015-05-08,0.4836
2015-05-11,0.4842
2015-05-12,0.4865
2015-05-13,0.4873
2015-05-14,0.4878
2015-05-15,0.4854
2015-05-18,0.4832
2015-05-19,0.4847
2015-05-20,0.4841
2015-05-21,0.4865
2015-05-22,0.4876
2015-05-25,0.49
2015-05-26,0.4927
2015-05-27,0.4907
2015-05-28,0.4882
2015-05-29,0.4852
2015-06-01,0.4811
2015-06-01,0.4811
2015-06-02,0.4767
2015-06-03,0.4754
2015-06-05,0.4707
2015-06-08,0.4702
2015-06-09,0.4708
2015-06-10,0.4775
2015-06-11,0.4731
2015-06-12,0.4746
2015-06-15,0.475
2015-06-16,0.4748
2015-06-17,0.4743
2015-06-18,0.4736
2015-06-19,0.4735
2015-06-22,0.4758
2015-06-23,0.476
2015-06-24,0.4755
2015-06-25,0.4768
2015-06-26,0.4777
2015-06-29,0.4776
2015-06-30,0.4775
2015-07-01,0.4793
2015-07-02,0.4782
2015-07-03,0.4746
2015-07-06,0.4704
2015-07-07,0.4678
2015-07-08,0.4637
2015-07-09,0.4652
2015-07-10,0.4692
2015-07-13,0.4664
2015-07-14,0.463
2015-07-15,0.462
2015-07-16,0.4637
2015-07-17,0.4623
2015-07-20,0.4616
2015-07-21,0.4599
2015-07-22,0.463
2015-07-23,0.4608
2015-07-24,0.4592
2015-07-27,0.4586
2015-07-28,0.4557
2015-07-29,0.4611
2015-07-30,0.4636
2015-07-31,0.4631
2015-08-03,0.4594
2015-08-04,0.4588
2015-08-05,0.4634
2015-08-06,0.4639
2015-08-07,0.4636
2015-08-10,0.4632
2015-08-11,0.4646
2015-08-12,0.4588
2015-08-13,0.4608
2015-08-14,0.4575
2015-08-17,0.4552
2015-08-18,0.4558
2015-08-19,0.4551
2015-08-20,0.4541
2015-08-21,0.4546
2015-08-24,0.4533
2015-08-25,0.4492
2015-08-26,0.4461
2015-08-27,0.4501
2015-08-28,0.4515
2015-08-31,0.453
2015-09-01,0.4499
2015-09-02,0.4544
2015-09-03,0.4557
2015-09-04,0.4591
2015-09-07,0.4574
2015-09-08,0.4573
2015-09-09,0.457
2015-09-10,0.4594
2015-09-11,0.4537
2015-09-14,0.4545
2015-09-15,0.4539
2015-09-16,0.4542
2015-09-17,0.457
2015-09-18,0.4558
2015-09-21,0.4536
2015-09-22,0.4544
2015-09-23,0.456
2015-09-24,0.445
2015-09-25,0.4442
2015-09-28,0.4424
2015-09-29,0.4455
2015-09-30,0.4474
2015-10-01,0.4485
2015-10-02,0.4492
2015-10-05,0.452
2015-10-06,0.4519
2015-10-07,0.456
2015-10-08,0.4593
2015-10-09,0.4588
2015-10-12,0.4601
2015-10-13,0.4594
2015-10-14,0.4588
2015-10-15,0.4589
2015-10-16,0.4607
2015-10-19,0.4603
2015-10-20,0.4604
2015-10-21,0.4616
2015-10-22,0.4615
2015-10-23,0.4601
2015-10-26,0.4623
2015-10-27,0.4601
2015-10-28,0.4563
2015-10-29,0.4559
2015-10-30,0.4528
2015-11-02,0.4571
2015-11-03,0.4543
2015-11-04,0.4558
2015-11-05,0.4539
2015-11-06,0.4567
2015-11-09,0.4585
2015-11-10,0.4549
2015-11-12,0.4539
2015-11-13,0.4538
2015-11-16,0.4558
2015-11-17,0.4591
2015-11-18,0.4605
2015-11-19,0.4596
2015-11-20,0.4608
2015-11-23,0.4598
2015-11-24,0.4625
2015-11-25,0.4648
2015-11-26,0.4665
2015-11-27,0.4641
2015-11-30,0.463
2015-12-01,0.4641
2015-12-02,0.4672
2015-12-03,0.4663
2015-12-04,0.4658
2015-12-07,0.4622
2015-12-08,0.4589
2015-12-09,0.4542
2015-12-10,0.4589
2015-12-11,0.4569
2015-12-14,0.459
2015-12-15,0.4582
2015-12-16,0.4541
2015-12-17,0.4565
2015-12-18,0.4522
2015-12-21,0.4462
2015-12-22,0.4436
2015-12-23,0.4459
2015-12-24,0.4463
2015-12-28,0.444
2015-12-29,0.4457
2015-12-30,0.4443
2015-12-31,0.4431
2016-01-04,0.4443
2016-01-05,0.449
2016-01-07,0.4485
2016-01-08,0.4502
2016-01-11,0.4514
2016-01-12,0.4512
2016-01-13,0.4523
2016-01-14,0.4526
2016-01-15,0.4575
2016-01-18,0.4643
2016-01-19,0.4628
2016-01-20,0.4625
2016-01-21,0.4629
2016-01-22,0.4687
2016-01-25,0.4707
2016-01-26,0.4732
2016-01-27,0.4723
2016-01-28,0.4729
2016-01-29,0.4701
2016-02-01,0.4691
2016-02-02,0.4617
2016-02-03,0.4629
2016-02-04,0.4646
2016-02-05,0.4629
2016-02-08,0.4617
2016-02-09,0.4627
2016-02-10,0.4624
2016-02-11,0.4577
2016-02-12,0.4561
2016-02-15,0.4568
2016-02-16,0.4576
2016-02-17,0.4564
2016-02-18,0.4603
2016-02-19,0.4605
2016-02-22,0.459
2016-02-23,0.4603
2016-02-24,0.4585
2016-02-25,0.458
2016-02-26,0.4581
2016-02-29,0.4587
2016-03-01,0.4606
2016-03-02,0.4604
2016-03-03,0.4596
2016-03-04,0.4611
2016-03-07,0.4633
2016-03-08,0.4589
2016-03-09,0.4603
2016-03-10,0.4613
2016-03-11,0.4565
2016-03-14,0.4545
2016-03-15,0.4532
2016-03-16,0.4516
2016-03-17,0.4541
2016-03-18,0.4548
2016-03-21,0.4516
2016-03-22,0.4504
2016-03-23,0.4502
2016-03-24,0.4501
2016-03-25,0.4498
2016-03-29,0.4494
2016-03-30,0.4495
2016-03-31,0.4532
2016-04-01,0.45
2016-04-04,0.4471
2016-04-05,0.4478
2016-04-06,0.4497
2016-04-07,0.4508
2016-04-08,0.4549
2016-04-11,0.4566
2016-04-12,0.4604
2016-04-13,0.4605
2016-04-14,0.4636
2016-04-15,0.4631
2016-04-18,0.4615
2016-04-19,0.4641
2016-04-20,0.4654
2016-04-21,0.4668
2016-04-22,0.4679
2016-04-25,0.4734
2016-04-26,0.4754
2016-04-27,0.4761
2016-04-28,0.4751
2016-04-29,0.4783
2016-05-02,0.4736
2016-05-04,0.4703
2016-05-05,0.472
2016-05-06,0.4725
2016-05-09,0.474
2016-05-10,0.4739
2016-05-11,0.473
2016-05-12,0.4787
2016-05-13,0.4748
2016-05-16,0.4722
2016-05-17,0.4712
2016-05-18,0.4733
2016-05-19,0.4685
2016-05-20,0.4734
2016-05-23,0.4736
2016-05-24,0.4741
2016-05-25,0.4763
2016-05-27,0.4747
2016-05-30,0.4719
2016-05-31,0.4702
2016-06-01,0.4714
2016-06-01,0.4714
2016-06-02,0.4711
2016-06-03,0.4726
2016-06-06,0.4723
2016-06-07,0.471
2016-06-08,0.4705
2016-06-09,0.468
2016-06-10,0.4706
2016-06-13,0.4718
2016-06-14,0.4733
2016-06-15,0.4715
2016-06-16,0.4724
2016-06-17,0.47
2016-06-20,0.4678
2016-06-21,0.4696
2016-06-22,0.4691
