effectiveDate,mid
2015-01-02,2.7681
2015-01-05,2.7601
2015-01-07,2.8183
2015-01-08,2.8491
2015-01-09,2.8327
2015-01-12,2.8134
2015-01-13,2.811
2015-01-14,2.8221
2015-01-15,2.8414
2015-01-16,2.8978
2015-01-19,2.8971
2015-01-20,2.8895
2015-01-21,2.8516
2015-01-22,2.7965
2015-01-23,2.8164
2015-01-26,2.8058
2015-01-27,2.7789
2015-01-28,2.785
2015-01-29,2.7346
2015-01-30,2.701
2015-02-02,2.6717
2015-02-03,2.6533
2015-02-04,2.6911
2015-02-05,2.7101
2015-02-06,2.7002
2015-02-09,2.7291
2015-02-10,2.754
2015-02-11,2.7539
2015-02-12,2.7208
2015-02-13,2.7149
2015-02-16,2.7565
2015-02-17,2.7702
2015-02-18,2.7728
2015-02-19,2.7551
2015-02-20,2.7839
2015-02-23,2.768
2015-02-24,2.7483
2015-02-25,2.7685
2015-02-26,2.7759
2015-02-27,2.7939
2015-03-02,2.7933
2015-03-03,2.8024
2015-03-04,2.8433
2015-03-05,2.8215
2015-03-06,2.8098
2015-03-09,2.7967
2015-03-10,2.7879
2015-03-11,2.8344
2015-03-12,2.8797
2015-03-13,2.872
2015-03-16,2.8895
2015-03-17,2.8823
2015-03-18,2.8483
2015-03-19,2.8659
2015-03-20,2.8741
2015-03-23,2.8945
2015-03-24,2.8611
2015-03-25,2.853
2015-03-26,2.8363
2015-03-27,2.8654
2015-03-30,2.8383
2015-03-31,2.8435
2015-04-01,2.8035
2015-04-02,2.8079
2015-04-03,2.8136
2015-04-07,2.8154
2015-04-08,2.8161
2015-04-09,2.8331
2015-04-10,2.8572
2015-04-13,2.8317
2015-04-14,2.8272
2015-04-15,2.8418
2015-04-16,2.8691
2015-04-17,2.8698
2015-04-20,2.8741
2015-04-21,2.8621
2015-04-22,2.8673
2015-04-23,2.8301
2015-04-24,2.7925
2015-04-27,2.8204
2015-04-28,2.8188
2015-04-29,2.8033
2015-04-30,2.7393
2015-05-04,2.7375
2015-05-05,2.7189
2015-05-06,2.7059
2015-05-07,2.6791
2015-05-08,2.6833
2015-05-11,2.6957
2015-05-12,2.6844
2015-05-13,2.6946
2015-05-14,2.6898
2015-05-15,2.6605
2015-05-18,2.6376
2015-05-19,2.6815
2015-05-20,2.6811
2015-05-21,2.6827
2015-05-22,2.7049
2015-05-25,2.7401
2015-05-26,2.7574
2015-05-27,2.7474
2015-05-28,2.7413
2015-05-29,2.6813
2015-06-01,2.6912
2015-06-01,2.6912
2015-06-02,2.6761
2015-06-03,2.6517
2015-06-05,2.6337
2015-06-08,2.6376
2015-06-09,2.6284
2015-06-10,2.6436
2015-06-11,2.5846
2015-06-12,2.5822
2015-06-15,2.5733
2015-06-16,2.5773
2015-06-17,2.5556
2015-06-18,2.5322
2015-06-19,2.5458
2015-06-22,2.538
2015-06-23,2.5369
2015-06-24,2.5551
2015-06-25,2.5722
2015-06-26,2.5624
2015-06-29,2.5732
2015-06-30,2.5475
2015-07-01,2.5508
2015-07-02,2.5307
2015-07-03,2.5236
2015-07-06,2.5383
2015-07-07,2.5404
2015-07-08,2.5496
2015-07-09,2.5721
2015-07-10,2.5449
2015-07-13,2.5176
2015-07-14,2.518
2015-07-15,2.5075
2015-07-16,2.4611
2015-07-17,2.4606
2015-07-20,2.4886
2015-07-21,2.5036
2015-07-22,2.4896
2015-07-23,2.5135
2015-07-24,2.4763
2015-07-27,2.4766
2015-07-28,2.4875
2015-07-29,2.5051
2015-07-30,2.5061
2015-07-31,2.4843
2015-08-03,2.4853
2015-08-04,2.4973
2015-08-05,2.5084
2015-08-06,2.5078
2015-08-07,2.5144
2015-08-10,2.5118
2015-08-11,2.4964
2015-08-12,2.4798
2015-08-13,2.4728
2015-08-14,2.4576
2015-08-17,2.4645
2015-08-18,2.4716
2015-08-19,2.4847
2015-08-20,2.478
2015-08-21,2.4742
2015-08-24,2.4356
2015-08-25,2.3799
2015-08-26,2.3988
2015-08-27,2.4189
2015-08-28,2.4272
2015-08-31,2.426
2015-09-01,2.3726
2015-09-02,2.3847
2015-09-03,2.3889
2015-09-04,2.4193
2015-09-07,2.3766
2015-09-08,2.381
2015-09-09,2.3968
2015-09-10,2.3715
2015-09-11,2.3427
2015-09-14,2.3495
2015-09-15,2.3555
2015-09-16,2.3726
2015-09-17,2.3581
2015-09-18,2.3577
2015-09-21,2.3548
2015-09-22,2.367
2015-09-23,2.3729
2015-09-24,2.3686
2015-09-25,2.3912
2015-09-28,2.4148
