effectiveDate,mid
2015-01-02,0.9607
2015-01-05,0.9563
2015-01-07,0.9587
2015-01-08,0.958
2015-01-09,0.955
2015-01-12,0.9539
2015-01-13,0.9544
2015-01-14,0.954
2015-01-15,0.9532
2015-01-16,0.9581
2015-01-19,0.9587
2015-01-20,0.9621
2015-01-21,0.9582
2015-01-22,0.9553
2015-01-23,0.9427
2015-01-26,0.9438
2015-01-27,0.9457
2015-01-28,0.9493
2015-01-29,0.953
2015-01-30,0.9476
2015-02-02,0.9475
2015-02-03,0.9498
2015-02-04,0.9453
2015-02-05,0.9464
2015-02-06,0.9448
2015-02-09,0.9442
2015-02-10,0.9481
2015-02-11,0.9463
2015-02-12,0.9451
2015-02-13,0.9419
2015-02-16,0.9415
2015-02-17,0.9421
2015-02-18,0.9415
2015-02-19,0.9396
2015-02-20,0.9402
2015-02-23,0.9385
2015-02-24,0.9386
2015-02-25,0.9408
2015-02-26,0.939
2015-02-27,0.9351
2015-03-02,0.9357
2015-03-03,0.9327
2015-03-04,0.9361
2015-03-05,0.9315
2015-03-06,0.9299
2015-03-09,0.9285
2015-03-10,0.9278
2015-03-11,0.9323
2015-03-12,0.9297
2015-03-13,0.9339
2015-03-16,0.9323
2015-03-17,0.9325
2015-03-18,0.9323
2015-03-19,0.9323
2015-03-20,0.9319
2015-03-23,0.9303
2015-03-24,0.9329
2015-03-25,0.9281
2015-03-26,0.9239
2015-03-27,0.9259
2015-03-30,0.9298
2015-03-31,0.9277
2015-04-01,0.9212
2015-04-02,0.9206
2015-04-03,0.9228
2015-04-07,0.9198
2015-04-08,0.9158
2015-04-09,0.9135
2015-04-10,0.9126
2015-04-13,0.9113
2015-04-14,0.9088
2015-04-15,0.9062
2015-04-16,0.9088
2015-04-17,0.9145
2015-04-20,0.9067
2015-04-21,0.8951
2015-04-22,0.9033
2015-04-23,0.9068
2015-04-24,0.9102
2015-04-27,0.9097
2015-04-28,0.9078
2015-04-29,0.9121
2015-04-30,0.9123
2015-05-04,0.9131
2015-05-05,0.9081
2015-05-06,0.9135
2015-05-07,0.9156
2015-05-08,0.9114
2015-05-11,0.9154
2015-05-12,0.9198
2015-05-13,0.9155
2015-05-14,0.9184
2015-05-15,0.9146
2015-05-18,0.911
2015-05-19,0.9097
2015-05-20,0.9126
2015-05-21,0.9185
2015-05-22,0.9225
2015-05-25,0.9246
2015-05-26,0.9259
2015-05-27,0.9318
2015-05-28,0.9317
2015-05-29,0.9297
2015-06-01,0.9278
2015-06-01,0.9278
2015-06-02,0.9311
2015-06-03,0.9309
2015-06-05,0.9366
2015-06-08,0.9319
2015-06-09,0.9332
2015-06-10,0.929
2015-06-11,0.9285
2015-06-12,0.9272
2015-06-15,0.9262
2015-06-16,0.9263
2015-06-17,0.926
2015-06-18,0.9284
2015-06-19,0.9296
2015-06-22,0.9304
2015-06-23,0.9295
2015-06-24,0.9315
2015-06-25,0.9372
2015-06-26,0.9371
2015-06-29,0.9323
2015-06-30,0.9349
2015-07-01,0.9369
2015-07-02,0.9377
2015-07-03,0.9351
2015-07-06,0.936
2015-07-07,0.9376
2015-07-08,0.9412
2015-07-09,0.9434
2015-07-10,0.9403
2015-07-13,0.9373
2015-07-14,0.9377
2015-07-15,0.9329
2015-07-16,0.9304
2015-07-17,0.9283
2015-07-20,0.9301
2015-07-21,0.9318
2015-07-22,0.9322
2015-07-23,0.9341
2015-07-24,0.9314
2015-07-27,0.9383
2015-07-28,0.9348
2015-07-29,0.9377
2015-07-30,0.9404
2015-07-31,0.9412
2015-08-03,0.9394
2015-08-04,0.9414
2015-08-05,0.944
2015-08-06,0.9475
2015-08-07,0.9487
2015-08-10,0.9506
2015-08-11,0.9519
2015-08-12,0.953
2015-08-13,0.9484
2015-08-14,0.9469
2015-08-17,0.9439
2015-08-18,0.9408
2015-08-19,0.9411
2015-08-20,0.9455
2015-08-21,0.9484
2015-08-24,0.9541
2015-08-25,0.9539
2015-08-26,0.9555
2015-08-27,0.953
2015-08-28,0.9554
2015-08-31,0.9555
2015-09-01,0.9532
2015-09-02,0.9554
2015-09-03,0.9541
2015-09-04,0.9549
2015-09-07,0.9564
2015-09-08,0.9564
2015-09-09,0.9529
2015-09-10,0.9532
2015-09-11,0.9531
2015-09-14,0.9528
2015-09-15,0.9522
2015-09-16,0.9498
2015-09-17,0.9512
2015-09-18,0.9513
2015-09-21,0.9472
2015-09-22,0.9482
2015-09-23,0.9504
2015-09-24,0.9553
2015-09-25,0.9536
2015-09-28,0.9594
2015-09-29,0.9597
2015-09-30,0.96
2015-10-01,0.9609
2015-10-02,0.9612
2015-10-05,0.9611
2015-10-06,0.9614
2015-10-07,0.9571
2015-10-08,0.9599
2015-10-09,0.9553
2015-10-12,0.9576
2015-10-13,0.9589
2015-10-14,0.9588
2015-10-15,0.9583
2015-10-16,0.9584
2015-10-19,0.9585
2015-10-20,0.9599
2015-10-21,0.9654
2015-10-22,0.9657
2015-10-23,0.9606
2015-10-26,0.961
2015-10-27,0.9628
2015-10-28,0.9686
2015-10-29,0.9645
2015-10-30,0.9616
2015-11-02,0.958
2015-11-03,0.9585
2015-11-04,0.9551
2015-11-05,0.9511
2015-11-06,0.954
2015-11-09,0.9566
2015-11-10,0.9536
2015-11-12,0.9511
2015-11-13,0.9539
2015-11-16,0.9566
2015-11-17,0.9562
2015-11-18,0.956
2015-11-19,0.956
2015-11-20,0.9558
2015-11-23,0.9532
2015-11-24,0.9576
2015-11-25,0.9603
2015-11-26,0.9636
