effectiveDate,mid
2015-01-02,0.0588
2015-01-05,0.0613
2015-01-07,0.0577
2015-01-08,0.0593
2015-01-09,0.0589
2015-01-12,0.0578
2015-01-13,0.0557
2015-01-14,0.0554
2015-01-15,0.0563
2015-01-16,0.057
2015-01-19,0.0575
2015-01-20,0.0574
2015-01-21,0.0567
2015-01-22,0.0568
2015-01-23,0.0588
2015-01-26,0.0574
2015-01-27,0.0551
2015-01-28,0.0554
2015-01-29,0.0544
2015-01-30,0.0532
2015-02-02,0.0524
2015-02-03,0.0553
2015-02-04,0.0554
2015-02-05,0.0542
2015-02-06,0.055
2015-02-09,0.056
2015-02-10,0.0568
2015-02-11,0.0561
2015-02-12,0.057
2015-02-13,0.0564
2015-02-16,0.0588
2015-02-17,0.0587
2015-02-18,0.0588
2015-02-19,0.0592
2015-02-20,0.0596
2015-02-23,0.0577
2015-02-24,0.0584
2015-02-25,0.0588
2015-02-26,0.0607
2015-02-27,0.0606
2015-03-02,0.0598
2015-03-03,0.0598
2015-03-04,0.0607
2015-03-05,0.0607
2015-03-06,0.0631
2015-03-09,0.0623
2015-03-10,0.0632
2015-03-11,0.0621
2015-03-12,0.064
2015-03-13,0.0637
2015-03-16,0.0631
2015-03-17,0.0633
2015-03-18,0.0639
2015-03-19,0.0641
2015-03-20,0.0642
2015-03-23,0.064
2015-03-24,0.0642
2015-03-25,0.0657
2015-03-26,0.0655
2015-03-27,0.0657
2015-03-30,0.0651
2015-03-31,0.0661
2015-04-01,0.0648
2015-04-02,0.0661
2015-04-03,0.0657
2015-04-07,0.0673
2015-04-08,0.0691
2015-04-09,0.0712
2015-04-10,0.0745
2015-04-13,0.0725
2015-04-14,0.0731
2015-04-15,0.0749
2015-04-16,0.0758
2015-04-17,0.0735
2015-04-20,0.0723
2015-04-21,0.069
2015-04-22,0.0694
2015-04-23,0.0724
2015-04-24,0.0731
2015-04-27,0.0721
2015-04-28,0.0705
2015-04-29,0.0705
2015-04-30,0.07
2015-05-04,0.0702
2015-05-05,0.0705
2015-05-06,0.0725
2015-05-07,0.0707
2015-05-08,0.0709
2015-05-11,0.071
2015-05-12,0.0719
2015-05-13,0.0732
2015-05-14,0.0721
2015-05-15,0.0712
2015-05-18,0.0724
2015-05-19,0.0732
2015-05-20,0.073
2015-05-21,0.0734
2015-05-22,0.0735
2015-05-25,0.0752
2015-05-26,0.0751
2015-05-27,0.074
2015-05-28,0.0724
2015-05-29,0.0716
2015-06-01,0.0713
2015-06-01,0.0713
2015-06-02,0.0707
2015-06-03,0.0698
2015-06-05,0.0658
2015-06-08,0.0665
2015-06-09,0.066
2015-06-10,0.0674
2015-06-11,0.0676
2015-06-12,0.0673
2015-06-15,0.0669
2015-06-16,0.0683
2015-06-17,0.0682
2015-06-18,0.0687
2015-06-19,0.0681
2015-06-22,0.0687
2015-06-23,0.0682
2015-06-24,0.0684
2015-06-25,0.0682
2015-06-26,0.0678
2015-06-29,0.0681
2015-06-30,0.0676
2015-07-01,0.0678
2015-07-02,0.068
2015-07-03,0.0677
2015-07-06,0.0672
2015-07-07,0.0671
2015-07-08,0.0671
2015-07-09,0.0671
2015-07-10,0.0664
2015-07-13,0.0661
2015-07-14,0.0661
2015-07-15,0.0662
2015-07-16,0.0661
2015-07-17,0.0663
2015-07-20,0.0666
2015-07-21,0.0665
2015-07-22,0.0659
2015-07-23,0.0655
2015-07-24,0.0648
2015-07-27,0.0634
2015-07-28,0.0621
2015-07-29,0.0626
2015-07-30,0.0639
2015-07-31,0.0628
2015-08-03,0.0603
2015-08-04,0.0601
2015-08-05,0.061
2015-08-06,0.0599
2015-08-07,0.0596
2015-08-10,0.0593
2015-08-11,0.0602
2015-08-12,0.0583
2015-08-13,0.0586
2015-08-14,0.0578
2015-08-17,0.0573
2015-08-18,0.0571
2015-08-19,0.0575
2015-08-20,0.056
2015-08-21,0.0547
2015-08-24,0.0519
2015-08-25,0.0524
2015-08-26,0.0531
2015-08-27,0.0555
2015-08-28,0.0562
2015-08-31,0.0562
2015-09-01,0.0576
2015-09-02,0.0563
2015-09-03,0.0562
2015-09-04,0.0561
2015-09-07,0.0554
2015-09-08,0.0551
2015-09-09,0.0556
2015-09-10,0.0552
2015-09-11,0.0547
2015-09-14,0.0547
2015-09-15,0.0556
2015-09-16,0.0568
2015-09-17,0.0565
2015-09-18,0.0556
2015-09-21,0.0559
2015-09-22,0.0566
2015-09-23,0.0572
2015-09-24,0.0567
2015-09-25,0.0576
2015-09-28,0.0577
2015-09-29,0.0571
2015-09-30,0.0576
2015-10-01,0.0583
2015-10-02,0.0576
2015-10-05,0.0576
2015-10-06,0.0583
2015-10-07,0.0603
2015-10-08,0.0604
2015-10-09,0.0605
2015-10-12,0.0609
2015-10-13,0.0597
2015-10-14,0.0589
2015-10-15,0.0595
2015-10-16,0.0606
2015-10-19,0.0605
2015-10-20,0.06
2015-10-21,0.0598
2015-10-22,0.0604
2015-10-23,0.0616
2015-10-26,0.062
2015-10-27,0.0607
2015-10-28,0.06
2015-10-29,0.0607
2015-10-30,0.0604
2015-11-02,0.0601
2015-11-03,0.0605
2015-11-04,0.062
2015-11-05,0.0613
2015-11-06,0.0612
2015-11-09,0.0616
2015-11-10,0.0613
2015-11-12,0.0599
2015-11-13,0.0591
2015-11-16,0.0597
2015-11-17,0.0608
2015-11-18,0.0615
2015-11-19,0.0613
2015-11-20,0.0613
2015-11-23,0.0603
2015-11-24,0.0608
2015-11-25,0.0614
2015-11-26,0.0613
2015-11-27,0.0608
2015-11-30,0.0606
2015-12-01,0.0607
2015-12-02,0.0601
2015-12-03,0.0595
2015-12-04,0.0587
2015-12-07,0.0582
2015-12-08,0.0575
2015-12-09,0.0573
2015-12-10,0.0573
2015-12-11,0.057
2015-12-14,0.0563
2015-12-15,0.0559
2015-12-16,0.0565
2015-12-17,0.056
2015-12-18,0.0558
2015-12-21,0.0551
2015-12-22,0.0545
2015-12-23,0.0547
2015-12-24,0.0552
2015-12-28,0.0535
2015-12-29,0.0532
2015-12-30,0.0531
2015-12-31,0.0528
2016-01-04,0.0535
2016-01-05,0.0546
2016-01-07,0.053
2016-01-08,0.0542
2016-01-11,0.0532
2016-01-12,0.0527
2016-01-13,0.0524
2016-01-14,0.0523
2016-01-15,0.0524
2016-01-18,0.0523
2016-01-19,0.0522
2016-01-20,0.0512
2016-01-21,0.049
2016-01-22,0.0512
2016-01-25,0.0524
2016-01-26,0.0517
2016-01-27,0.0523
2016-01-28,0.0537
2016-01-29,0.0539
2016-02-01,0.0534
2016-02-02,0.0509
2016-02-03,0.0512
2016-02-04,0.0518
2016-02-05,0.0514
2016-02-08,0.0513
2016-02-09,0.0506
2016-02-10,0.05
2016-02-11,0.0494
2016-02-12,0.0492
2016-02-15,0.0505
2016-02-16,0.0509
2016-02-17,0.051
2016-02-18,0.0525
2016-02-19,0.0517
2016-02-22,0.0518
2016-02-23,0.0524
2016-02-24,0.0516
2016-02-25,0.052
2016-02-26,0.0528
2016-02-29,0.0524
2016-03-01,0.0541
2016-03-02,0.0538
2016-03-03,0.0539
2016-03-04,0.0539
2016-03-07,0.0549
2016-03-08,0.0548
2016-03-09,0.0545
2016-03-10,0.0555
2016-03-11,0.0555
2016-03-14,0.0548
2016-03-15,0.0547
2016-03-16,0.0547
2016-03-17,0.0555
2016-03-18,0.0552
2016-03-21,0.0554
2016-03-22,0.0561
2016-03-23,0.0561
2016-03-24,0.055
2016-03-25,0.056
2016-03-29,0.0553
2016-03-30,0.0557
2016-03-31,0.0555
2016-04-01,0.0554
2016-04-04,0.0544
2016-04-05,0.0544
2016-04-06,0.0547
2016-04-07,0.0553
2016-04-08,0.056
2016-04-11,0.0561
2016-04-12,0.0566
2016-04-13,0.0576
2016-04-14,0.0576
2016-04-15,0.0578
2016-04-18,0.0564
2016-04-19,0.0577
2016-04-20,0.0574
2016-04-21,0.0581
2016-04-22,0.0579
2016-04-25,0.0584
2016-04-26,0.0585
2016-04-27,0.0595
2016-04-28,0.0594
2016-04-29,0.0601
2016-05-02,0.0588
2016-05-04,0.0577
2016-05-05,0.0584
2016-05-06,0.0586
2016-05-09,0.0591
2016-05-10,0.0586
2016-05-11,0.0586
2016-05-12,0.0598
2016-05-13,0.0596
2016-05-16,0.0595
2016-05-17,0.0595
2016-05-18,0.0597
2016-05-19,0.059
2016-05-20,0.0592
2016-05-23,0.059
2016-05-24,0.0595
2016-05-25,0.0603
2016-05-27,0.0597
2016-05-30,0.0597
2016-05-31,0.0596
2016-06-01,0.0589
2016-06-01,0.0589
2016-06-02,0.0587
2016-06-03,0.0588
2016-06-06,0.0587
2016-06-07,0.0589
2016-06-08,0.059
2016-06-09,0.0595
2016-06-10,0.0595
2016-06-13,0.0594
2016-06-14,0.0597
2016-06-15,0.0597
2016-06-16,0.0599
2016-06-17,0.0602
2016-06-20,0.0604
2016-06-21,0.0604
2016-06-22,0.0609
2016-06-23,0.0601
2016-06-24,0.0612
2016-06-27,0.0621
2016-06-28,0.0617
2016-06-29,0.0621
2016-06-30,0.062
2016-07-01,0.0616
2016-07-04,0.0624
2016-07-05,0.0622
2016-07-06,0.0622
2016-07-07,0.0626
2016-07-08,0.0623
2016-07-11,0.0624
2016-07-12,0.0623
2016-07-13,0.0623
2016-07-14,0.0625
2016-07-15,0.0627
2016-07-18,0.0631
2016-07-19,0.0628
2016-07-20,0.0628
2016-07-21,0.0622
2016-07-22,0.0612
2016-07-25,0.0612
2016-07-26,0.0602
2016-07-27,0.0603
2016-07-28,0.0596
2016-07-29,0.0587
2016-08-01,0.0589
2016-08-02,0.0581
2016-08-03,0.0578
2016-08-04,0.0581
2016-08-05,0.059
2016-08-08,0.0596
2016-08-09,0.0596
2016-08-10,0.0589
2016-08-11,0.0589
2016-08-12,0.0591
2016-08-16,0.0593
2016-08-17,0.0594
2016-08-18,0.0594
2016-08-19,0.0592
2016-08-22,0.0593
2016-08-23,0.0587
2016-08-24,0.0588
2016-08-25,0.0587
2016-08-26,0.0592
2016-08-29,0.0596
2016-08-30,0.0599
2016-08-31,0.0599
2016-09-01,0.0599
2016-09-02,0.0595
2016-09-05,0.0602
2016-09-06,0.0599
2016-09-07,0.0598
2016-09-08,0.0598
2016-09-09,0.0598
2016-09-12,0.0594
2016-09-13,0.0598
2016-09-14,0.0596
2016-09-15,0.0593
2016-09-16,0.0592
2016-09-19,0.0594
2016-09-20,0.0594
2016-09-21,0.0599
2016-09-22,0.0597
2016-09-23,0.06
2016-09-26,0.0598
2016-09-27,0.0599
2016-09-28,0.0598
2016-09-29,0.0607
2016-09-30,0.0609
2016-10-03,0.0613
2016-10-04,0.0616
2016-10-05,0.0613
2016-10-06,0.0616
2016-10-07,0.0618
2016-10-10,0.0614
2016-10-11,0.0617
2016-10-12,0.0621
2016-10-13,0.0619
2016-10-14,0.0619
2016-10-17,0.0622
2016-10-18,0.0623
2016-10-19,0.0629
2016-10-20,0.063
2016-10-21,0.0637
2016-10-24,0.0638
2016-10-25,0.0637
2016-10-26,0.0635
2016-10-27,0.063
2016-10-28,0.0631
2016-10-31,0.0625
2016-11-02,0.0613
2016-11-03,0.0612
2016-11-04,0.061
2016-11-07,0.0613
2016-11-08,0.0615
2016-11-09,0.0616
2016-11-10,0.0628
2016-11-14,0.0617
2016-11-15,0.0624
2016-11-16,0.0633
2016-11-17,0.0639
2016-11-18,0.0644
2016-11-21,0.065
2016-11-22,0.0653
2016-11-23,0.0647
2016-11-24,0.0651
2016-11-25,0.0646
2016-11-28,0.064
2016-11-29,0.0644
2016-11-30,0.0643
2016-12-01,0.0655
2016-12-02,0.0656
2016-12-05,0.0662
2016-12-06,0.0656
2016-12-07,0.0647
2016-12-08,0.0649
2016-12-09,0.0663
2016-12-12,0.0688
2016-12-13,0.0687
2016-12-14,0.0687
2016-12-15,0.0688
2016-12-16,0.0686
2016-12-19,0.0685
2016-12-20,0.0689
2016-12-21,0.0695
2016-12-22,0.0694
2016-12-23,0.0692
2016-12-27,0.0692
2016-12-28,0.0698
2016-12-29,0.0701
2016-12-30,0.068
2017-01-02,0.0687
2017-01-03,0.0695
2017-01-04,0.0691
2017-01-05,0.0691
2017-01-09,0.0694
2017-01-10,0.0688
2017-01-11,0.0689
2017-01-12,0.0692
2017-01-13,0.0691
2017-01-16,0.0694
2017-01-17,0.0692
2017-01-18,0.069
2017-01-19,0.0683
2017-01-20,0.0687
2017-01-23,0.0686
2017-01-24,0.0688
2017-01-25,0.0683
2017-01-26,0.0678
2017-01-27,0.0676
2017-01-30,0.0675
2017-01-31,0.0674
2017-02-01,0.0665
2017-02-02,0.0668
2017-02-03,0.0672
2017-02-06,0.0678
2017-02-07,0.0678
2017-02-08,0.0681
2017-02-09,0.0684
2017-02-10,0.0689
2017-02-13,0.0699
2017-02-14,0.0703
2017-02-15,0.071
2017-02-16,0.0709
2017-02-17,0.0705
2017-02-20,0.0702
2017-02-21,0.0706
2017-02-22,0.0707
2017-02-23,0.0705
2017-02-24,0.0703
2017-02-27,0.0706
2017-02-28,0.0703
2017-03-01,0.0701
2017-03-02,0.0696
2017-03-03,0.0697
2017-03-06,0.0701
2017-03-07,0.0702
2017-03-08,0.0699
2017-03-09,0.0694
2017-03-10,0.069
2017-03-13,0.069
2017-03-14,0.069
2017-03-15,0.0689
2017-03-16,0.0695
2017-03-17,0.0691
2017-03-20,0.0692
2017-03-21,0.0691
2017-03-22,0.0687
2017-03-23,0.069
2017-03-24,0.0689
2017-03-27,0.0691
2017-03-28,0.0687
2017-03-29,0.0689
2017-03-30,0.0699
2017-03-31,0.0704
2017-04-03,0.0703
2017-04-04,0.0705
2017-04-05,0.0711
2017-04-06,0.0707
2017-04-07,0.0698
2017-04-10,0.0697
2017-04-11,0.0703
2017-04-12,0.0705
2017-04-13,0.0704
2017-04-14,0.071
2017-04-18,0.0709
2017-04-19,0.0705
2017-04-20,0.0703
2017-04-21,0.0708
2017-04-24,0.0698
2017-04-25,0.0695
2017-04-26,0.0687
2017-04-27,0.0681
2017-04-28,0.0679
2017-05-02,0.0679
2017-05-04,0.067
2017-05-05,0.0659
2017-05-08,0.066
2017-05-09,0.0664
2017-05-10,0.0668
2017-05-11,0.0679
2017-05-12,0.0678
2017-05-15,0.0681
2017-05-16,0.0674
2017-05-17,0.0666
2017-05-18,0.0659
2017-05-19,0.0661
2017-05-22,0.0662
2017-05-23,0.0659
2017-05-24,0.0667
2017-05-25,0.0662
2017-05-26,0.0656
2017-05-29,0.0661
2017-05-30,0.0663
2017-05-31,0.0659
2017-06-01,0.0659
2017-06-01,0.0659
2017-06-02,0.0658
2017-06-05,0.0655
2017-06-06,0.0657
2017-06-07,0.0658
2017-06-08,0.0657
2017-06-09,0.0658
2017-06-12,0.0654
2017-06-13,0.0657
2017-06-14,0.0658
2017-06-16,0.0654
2017-06-19,0.0649
2017-06-20,0.0645
2017-06-21,0.0635
2017-06-22,0.0634
2017-06-23,0.0635
2017-06-26,0.0637
2017-06-27,0.0634
2017-06-28,0.0626
2017-06-29,0.0629
2017-06-30,0.0624
2017-07-03,0.0629
2017-07-04,0.0631
2017-07-05,0.0625
2017-07-06,0.0622
2017-07-07,0.0613
2017-07-10,0.0616
2017-07-11,0.0613
2017-07-12,0.061
2017-07-13,0.0617
2017-07-14,0.0619
2017-07-17,0.0621
2017-07-18,0.0615
2017-07-19,0.0617
2017-07-20,0.0619
2017-07-21,0.0616
2017-07-24,0.0609
2017-07-25,0.061
2017-07-26,0.0611
2017-07-27,0.0612
2017-07-28,0.0612
2017-07-31,0.0604
2017-08-01,0.0601
2017-08-02,0.0592
2017-08-03,0.0593
2017-08-04,0.0592
2017-08-07,0.0597
2017-08-08,0.06
2017-08-09,0.0605
2017-08-10,0.0608
2017-08-11,0.0606
2017-08-14,0.0606
2017-08-16,0.0611
2017-08-17,0.0612
2017-08-18,0.0614
2017-08-21,0.0616
2017-08-22,0.0615
2017-08-23,0.0613
2017-08-24,0.0614
2017-08-25,0.0611
2017-08-28,0.0612
2017-08-29,0.0603
2017-08-30,0.0608
2017-08-31,0.0613
2017-09-01,0.0615
2017-09-04,0.0618
2017-09-05,0.0616
2017-09-06,0.062
2017-09-07,0.0622
2017-09-08,0.0618
2017-09-11,0.0618
2017-09-12,0.0618
2017-09-13,0.0618
2017-09-14,0.0624
2017-09-15,0.0624
2017-09-18,0.0624
2017-09-19,0.0616
2017-09-20,0.0613
2017-09-21,0.0619
2017-09-22,0.0619
2017-09-25,0.0626
2017-09-26,0.063
2017-09-27,0.063
2017-09-28,0.063
2017-09-29,0.0631
2017-10-02,0.0635
2017-10-03,0.0634
2017-10-04,0.0633
2017-10-05,0.0635
2017-10-06,0.0637
2017-10-09,0.063
2017-10-10,0.0629
2017-10-11,0.0626
2017-10-12,0.0624
2017-10-13,0.0625
2017-10-16,0.0629
2017-10-17,0.0627
2017-10-18,0.0628
2017-10-19,0.0624
2017-10-20,0.0625
2017-10-23,0.0627
2017-10-24,0.0626
2017-10-25,0.0625
2017-10-26,0.0623
2017-10-27,0.0629
2017-10-30,0.063
2017-10-31,0.0628
2017-11-02,0.0625
2017-11-03,0.0622
2017-11-06,0.0621
2017-11-07,0.0624
2017-11-08,0.0617
2017-11-09,0.0615
2017-11-10,0.0613
2017-11-13,0.0612
2017-11-14,0.0606
2017-11-15,0.0595
2017-11-16,0.0601
2017-11-17,0.0603
2017-11-20,0.0606
2017-11-21,0.0607
2017-11-22,0.0609
2017-11-23,0.0609
2017-11-24,0.0607
2017-11-27,0.0606
2017-11-28,0.0606
2017-11-29,0.0607
2017-11-30,0.0606
2017-12-01,0.0602
2017-12-04,0.0602
2017-12-05,0.0605
2017-12-06,0.0604
2017-12-07,0.0604
2017-12-08,0.0603
2017-12-11,0.0602
2017-12-12,0.0607
2017-12-13,0.0607
2017-12-14,0.0609
2017-12-15,0.0608
2017-12-18,0.061
2017-12-19,0.0607
2017-12-20,0.0605
2017-12-21,0.0604
2017-12-22,0.0607
2017-12-27,0.0611
2017-12-28,0.061
2017-12-29,0.0604
2018-01-02,0.0603
2018-01-03,0.0603
2018-01-04,0.0604
2018-01-05,0.0604
2018-01-08,0.0609
2018-01-09,0.0613
2018-01-10,0.0614
2018-01-11,0.0613
2018-01-12,0.0608
2018-01-15,0.0603
2018-01-16,0.0606
2018-01-17,0.0603
2018-01-18,0.0602
2018-01-19,0.0601
2018-01-22,0.0602
2018-01-23,0.0603
2018-01-24,0.0599
2018-01-25,0.0598
2018-01-26,0.0597
2018-01-29,0.0593
2018-01-30,0.0596
2018-01-31,0.0593
2018-02-01,0.0594
2018-02-02,0.0592
2018-02-05,0.059
2018-02-06,0.0587
2018-02-07,0.0589
2018-02-08,0.059
2018-02-09,0.059
2018-02-12,0.0589
2018-02-13,0.0586
2018-02-14,0.0587
2018-02-15,0.0587
2018-02-16,0.0588
2018-02-19,0.0592
2018-02-20,0.0593
2018-02-21,0.0595
2018-02-22,0.0599
2018-02-23,0.0601
2018-02-26,0.0604
2018-02-27,0.0606
2018-02-28,0.0608
2018-03-01,0.0606
2018-03-02,0.0603
2018-03-05,0.0596
2018-03-06,0.06
2018-03-07,0.0592
2018-03-08,0.0596
2018-03-09,0.0599
2018-03-12,0.06
2018-03-13,0.06
2018-03-14,0.0599
2018-03-15,0.0599
2018-03-16,0.0595
2018-03-19,0.0596
2018-03-20,0.0593
2018-03-21,0.06
2018-03-22,0.0602
2018-03-23,0.06
2018-03-26,0.0599
2018-03-27,0.0593
2018-03-28,0.059
2018-03-29,0.0593
2018-03-30,0.0594
2018-04-03,0.0594
2018-04-04,0.0591
2018-04-05,0.0596
2018-04-06,0.0594
2018-04-09,0.0581
2018-04-10,0.0547
2018-04-11,0.0531
2018-04-12,0.0545
2018-04-13,0.0551
2018-04-16,0.0541
2018-04-17,0.0546
2018-04-18,0.0548
2018-04-19,0.0551
2018-04-20,0.0552
2018-04-23,0.0552
2018-04-24,0.0558
2018-04-25,0.056
2018-04-26,0.0554
2018-04-27,0.0558
2018-04-30,0.0556
2018-05-02,0.056
2018-05-04,0.0564
2018-05-07,0.0568
2018-05-08,0.0567
2018-05-09,0.057
2018-05-10,0.0575
2018-05-11,0.0579
2018-05-14,0.0575
2018-05-15,0.058
2018-05-16,0.058
2018-05-17,0.0587
2018-05-18,0.0586
2018-05-21,0.0588
2018-05-22,0.0592
2018-05-23,0.0596
2018-05-24,0.0596
2018-05-25,0.0596
2018-05-28,0.059
2018-05-29,0.0594
2018-05-30,0.0595
