effectiveDate,mid
2015-01-02,0.4547
2015-01-05,0.4528
2015-01-07,0.4573
2015-01-08,0.4577
2015-01-09,0.4513
2015-01-12,0.4486
2015-01-13,0.4542
2015-01-14,0.4519
2015-01-15,0.4502
2015-01-16,0.4571
2015-01-19,0.4586
2015-01-20,0.4596
2015-01-21,0.4582
2015-01-22,0.4545
2015-01-23,0.4535
2015-01-26,0.4523
2015-01-27,0.452
2015-01-28,0.4565
2015-01-29,0.4548
2015-01-30,0.4501
2015-02-02,0.4462
2015-02-03,0.4448
2015-02-04,0.4424
2015-02-05,0.4428
2015-02-06,0.4411
2015-02-09,0.4396
2015-02-10,0.445
2015-02-11,0.4443
2015-02-12,0.4361
2015-02-13,0.4345
2015-02-16,0.4364
2015-02-17,0.4394
2015-02-18,0.4401
2015-02-19,0.4376
2015-02-20,0.4379
2015-02-23,0.437
2015-02-24,0.4391
2015-02-25,0.4384
2015-02-26,0.441
2015-02-27,0.4436
2015-03-02,0.4441
2015-03-03,0.4476
2015-03-04,0.4516
2015-03-05,0.4495
2015-03-06,0.4492
2015-03-09,0.4475
2015-03-10,0.4494
2015-03-11,0.4553
2015-03-12,0.4535
2015-03-13,0.4533
2015-03-16,0.4515
2015-03-17,0.4517
2015-03-18,0.4524
2015-03-19,0.4458
2015-03-20,0.4451
2015-03-23,0.4438
2015-03-24,0.4412
2015-03-25,0.4397
2015-03-26,0.439
2015-03-27,0.4397
2015-03-30,0.4389
2015-03-31,0.441
2015-04-01,0.4389
2015-04-02,0.4361
2015-04-03,0.434
2015-04-07,0.4347
2015-04-08,0.4311
2015-04-09,0.4303
2015-04-10,0.4313
2015-04-13,0.4294
2015-04-14,0.4292
2015-04-15,0.4299
2015-04-16,0.4332
2015-04-17,0.4348
2015-04-20,0.4313
2015-04-21,0.4283
2015-04-22,0.4299
2015-04-23,0.428
2015-04-24,0.4282
2015-04-27,0.4308
2015-04-28,0.4268
2015-04-29,0.4328
2015-04-30,0.4354
2015-05-04,0.4333
2015-05-05,0.4314
2015-05-06,0.4354
2015-05-07,0.4375
2015-05-08,0.4363
2015-05-11,0.441
2015-05-12,0.4402
2015-05-13,0.4373
2015-05-14,0.437
2015-05-15,0.4323
2015-05-18,0.4316
2015-05-19,0.4349
2015-05-20,0.4359
2015-05-21,0.4411
2015-05-22,0.4433
2015-05-25,0.4459
2015-05-26,0.4487
2015-05-27,0.4474
2015-05-28,0.4476
2015-05-29,0.4437
2015-06-01,0.4412
2015-06-01,0.4412
2015-06-02,0.4408
2015-06-03,0.44
2015-06-05,0.4437
2015-06-08,0.4445
2015-06-09,0.4454
2015-06-10,0.4445
2015-06-11,0.4477
2015-06-12,0.4488
2015-06-15,0.4509
2015-06-16,0.4512
2015-06-17,0.4507
2015-06-18,0.4528
2015-06-19,0.4525
2015-06-22,0.4532
2015-06-23,0.4524
2015-06-24,0.4518
2015-06-25,0.4529
2015-06-26,0.4518
2015-06-29,0.453
2015-06-30,0.4558
2015-07-01,0.454
2015-07-02,0.4496
2015-07-03,0.4473
2015-07-06,0.4474
2015-07-07,0.4496
2015-07-08,0.4493
2015-07-09,0.4512
2015-07-10,0.4459
2015-07-13,0.4439
2015-07-14,0.4417
2015-07-15,0.4398
2015-07-16,0.4425
2015-07-17,0.4396
2015-07-20,0.4382
2015-07-21,0.4385
2015-07-22,0.4394
2015-07-23,0.4386
2015-07-24,0.4385
2015-07-27,0.4389
2015-07-28,0.437
2015-07-29,0.4368
2015-07-30,0.4379
2015-07-31,0.4405
2015-08-03,0.4368
2015-08-04,0.4375
2015-08-05,0.4396
2015-08-06,0.4399
2015-08-07,0.4373
2015-08-10,0.4366
2015-08-11,0.4378
2015-08-12,0.4397
2015-08-13,0.4414
2015-08-14,0.4435
2015-08-17,0.4423
2015-08-18,0.4416
2015-08-19,0.4417
2015-08-20,0.443
2015-08-21,0.4417
2015-08-24,0.4456
2015-08-25,0.4423
2015-08-26,0.4399
2015-08-27,0.4421
2015-08-28,0.4439
2015-08-31,0.4457
2015-09-01,0.4441
2015-09-02,0.4461
2015-09-03,0.4507
2015-09-04,0.4499
2015-09-07,0.4497
2015-09-08,0.4493
2015-09-09,0.4472
2015-09-10,0.4485
2015-09-11,0.4484
2015-09-14,0.4503
2015-09-15,0.4515
2015-09-16,0.4504
2015-09-17,0.4502
2015-09-18,0.4491
2015-09-21,0.4489
2015-09-22,0.4482
2015-09-23,0.4488
2015-09-24,0.4476
2015-09-25,0.4484
2015-09-28,0.4476
2015-09-29,0.4494
2015-09-30,0.4515
2015-10-01,0.4535
2015-10-02,0.4532
2015-10-05,0.4541
2015-10-06,0.4552
2015-10-07,0.4558
2015-10-08,0.4559
2015-10-09,0.4543
2015-10-12,0.4538
2015-10-13,0.4582
2015-10-14,0.4571
2015-10-15,0.4553
2015-10-16,0.4521
2015-10-19,0.452
2015-10-20,0.4514
2015-10-21,0.4537
2015-10-22,0.4541
2015-10-23,0.452
2015-10-26,0.4555
2015-10-27,0.4547
2015-10-28,0.4584
2015-10-29,0.4583
2015-10-30,0.4553
2015-11-02,0.4535
2015-11-03,0.4525
2015-11-04,0.4537
2015-11-05,0.4511
2015-11-06,0.4527
2015-11-09,0.4552
2015-11-10,0.4551
2015-11-12,0.4541
2015-11-13,0.4546
2015-11-16,0.4557
2015-11-17,0.4559
2015-11-18,0.4573
2015-11-19,0.4569
2015-11-20,0.4568
2015-11-23,0.4573
2015-11-24,0.4597
2015-11-25,0.4598
2015-11-26,0.4617
2015-11-27,0.4617
2015-11-30,0.4621
