effectiveDate,mid
2015-01-02,2.6897
2015-01-05,2.6996
2015-01-07,2.7213
2015-01-08,2.7285
2015-01-09,2.7091
2015-01-12,2.7118
2015-01-13,2.7122
2015-01-14,2.7342
2015-01-15,2.7642
2015-01-16,2.8066
2015-01-19,2.7917
2015-01-20,2.7923
2015-01-21,2.7966
2015-01-22,2.7753
2015-01-23,2.8063
2015-01-26,2.7974
2015-01-27,2.7836
2015-01-28,2.7619
2015-01-29,2.7696
2015-01-30,2.7523
2015-02-02,2.719
2015-02-03,2.7267
2015-02-04,2.7078
2015-02-05,2.7195
2015-02-06,2.7053
2015-02-09,2.7203
2015-02-10,2.7482
2015-02-11,2.729
2015-02-12,2.714
2015-02-13,2.6959
2015-02-16,2.7009
2015-02-17,2.7155
2015-02-18,2.7049
2015-02-19,2.699
2015-02-20,2.7135
2015-02-23,2.7102
2015-02-24,2.7137
2015-02-25,2.7064
2015-02-26,2.7073
2015-02-27,2.7203
2015-03-02,2.717
2015-03-03,2.7276
2015-03-04,2.7459
2015-03-05,2.7428
2015-03-06,2.7443
2015-03-09,2.7461
2015-03-10,2.7628
2015-03-11,2.8151
2015-03-12,2.8192
2015-03-13,2.8187
2015-03-16,2.8232
2015-03-17,2.8097
2015-03-18,2.8038
2015-03-19,2.7893
2015-03-20,2.7822
2015-03-23,2.7742
2015-03-24,2.7444
2015-03-25,2.7296
2015-03-26,2.7164
2015-03-27,2.7634
2015-03-30,2.7431
2015-03-31,2.7719
2015-04-01,2.767
2015-04-02,2.762
2015-04-03,2.7609
2015-04-07,2.758
2015-04-08,2.7384
2015-04-09,2.7582
2015-04-10,2.7807
2015-04-13,2.7772
2015-04-14,2.7873
2015-04-15,2.7836
2015-04-16,2.7873
2015-04-17,2.7708
2015-04-20,2.7706
2015-04-21,2.7592
2015-04-22,2.759
2015-04-23,2.7749
2015-04-24,2.76
2015-04-27,2.7842
2015-04-28,2.7707
2015-04-29,2.7552
2015-04-30,2.7217
2015-05-04,2.7259
2015-05-05,2.7079
2015-05-06,2.7182
2015-05-07,2.6932
2015-05-08,2.7122
2015-05-11,2.7352
2015-05-12,2.7289
2015-05-13,2.7282
2015-05-14,2.7189
2015-05-15,2.6979
2015-05-18,2.6869
2015-05-19,2.7148
2015-05-20,2.734
2015-05-21,2.7425
2015-05-22,2.7582
2015-05-25,2.7955
2015-05-26,2.8103
2015-05-27,2.8131
2015-05-28,2.8061
2015-05-29,2.7952
2015-06-01,2.801
2015-06-01,2.801
2015-06-02,2.7773
2015-06-03,2.7535
2015-06-05,2.7409
2015-06-08,2.7433
2015-06-09,2.7305
2015-06-10,2.736
2015-06-11,2.7337
2015-06-12,2.7456
2015-06-15,2.739
2015-06-16,2.7449
2015-06-17,2.7384
2015-06-18,2.7471
2015-06-19,2.7572
2015-06-22,2.7605
2015-06-23,2.7687
2015-06-24,2.7652
2015-06-25,2.7781
2015-06-26,2.7711
2015-06-29,2.7915
2015-06-30,2.7969
2015-07-01,2.7935
2015-07-02,2.7997
2015-07-03,2.7978
2015-07-06,2.8127
2015-07-07,2.8252
2015-07-08,2.8194
2015-07-09,2.833
2015-07-10,2.7926
2015-07-13,2.7736
2015-07-14,2.7687
2015-07-15,2.7491
2015-07-16,2.7589
2015-07-17,2.7593
2015-07-20,2.76
2015-07-21,2.7682
2015-07-22,2.7603
2015-07-23,2.7499
2015-07-24,2.7465
2015-07-27,2.737
2015-07-28,2.7304
2015-07-29,2.7447
2015-07-30,2.7528
2015-07-31,2.7557
2015-08-03,2.7374
2015-08-04,2.7462
2015-08-05,2.7708
2015-08-06,2.7696
2015-08-07,2.7646
2015-08-10,2.7572
2015-08-11,2.7219
2015-08-12,2.6804
2015-08-13,2.696
2015-08-14,2.677
2015-08-17,2.67
2015-08-18,2.6746
2015-08-19,2.6871
2015-08-20,2.6786
2015-08-21,2.6512
2015-08-24,2.615
2015-08-25,2.6202
2015-08-26,2.6359
2015-08-27,2.6741
2015-08-28,2.671
2015-08-31,2.6746
2015-09-01,2.6618
2015-09-02,2.6603
2015-09-03,2.6581
2015-09-04,2.6797
2015-09-07,2.6583
2015-09-08,2.6626
2015-09-09,2.6565
2015-09-10,2.6577
2015-09-11,2.6363
2015-09-14,2.6382
2015-09-15,2.6588
2015-09-16,2.6649
2015-09-17,2.6533
2015-09-18,2.6408
2015-09-21,2.6336
2015-09-22,2.645
2015-09-23,2.6568
2015-09-24,2.6446
2015-09-25,2.6553
2015-09-28,2.651
2015-09-29,2.6455
2015-09-30,2.6529
2015-10-01,2.6618
2015-10-02,2.6519
2015-10-05,2.6443
2015-10-06,2.6564
2015-10-07,2.6569
2015-10-08,2.6571
2015-10-09,2.6676
2015-10-12,2.6574
2015-10-13,2.6545
2015-10-14,2.6771
2015-10-15,2.685
2015-10-16,2.6923
2015-10-19,2.6953
2015-10-20,2.6909
2015-10-21,2.7019
2015-10-22,2.7149
2015-10-23,2.7517
2015-10-26,2.7748
2015-10-27,2.7772
2015-10-28,2.7814
2015-10-29,2.7794
2015-10-30,2.7669
2015-11-02,2.7512
2015-11-03,2.7658
2015-11-04,2.7806
2015-11-05,2.7699
2015-11-06,2.7745
2015-11-09,2.7787
2015-11-10,2.7833
2015-11-12,2.7781
2015-11-13,2.7683
2015-11-16,2.7868
2015-11-17,2.7962
2015-11-18,2.7964
2015-11-19,2.8072
2015-11-20,2.8136
2015-11-23,2.8088
2015-11-24,2.8298
2015-11-25,2.8622
2015-11-26,2.8613
2015-11-27,2.8581
2015-11-30,2.8558
2015-12-01,2.8542
2015-12-02,2.8598
2015-12-03,2.8643
2015-12-04,2.8342
2015-12-07,2.8406
2015-12-08,2.8312
2015-12-09,2.8202
2015-12-10,2.8212
2015-12-11,2.8174
2015-12-14,2.8119
2015-12-15,2.8103
2015-12-16,2.81
2015-12-17,2.8045
2015-12-18,2.8022
2015-12-21,2.775
2015-12-22,2.7619
2015-12-23,2.7623
2015-12-24,2.7547
2015-12-28,2.7478
2015-12-29,2.7396
2015-12-30,2.7475
2015-12-31,2.762
2016-01-04,2.7609
2016-01-05,2.814
2016-01-07,2.7908
2016-01-08,2.7803
2016-01-11,2.7945
2016-01-12,2.7951
2016-01-13,2.793
2016-01-14,2.7777
2016-01-15,2.8058
2016-01-18,2.8566
2016-01-19,2.8525
2016-01-20,2.8397
2016-01-21,2.8708
2016-01-22,2.8744
2016-01-25,2.891
2016-01-26,2.9034
2016-01-27,2.8816
2016-01-28,2.8663
2016-01-29,2.8614
2016-02-01,2.8525
2016-02-02,2.8261
2016-02-03,2.8159
2016-02-04,2.8079
2016-02-05,2.8208
2016-02-08,2.8127
2016-02-09,2.8331
2016-02-10,2.8297
2016-02-11,2.8208
2016-02-12,2.8035
2016-02-15,2.8033
2016-02-16,2.8121
2016-02-17,2.8036
2016-02-18,2.8125
2016-02-19,2.8111
2016-02-22,2.8114
2016-02-23,2.8207
2016-02-24,2.833
2016-02-25,2.8284
2016-02-26,2.8255
2016-02-29,2.8409
2016-03-01,2.8463
2016-03-02,2.8413
2016-03-03,2.8581
2016-03-04,2.8601
2016-03-07,2.8556
2016-03-08,2.8416
2016-03-09,2.8503
2016-03-10,2.8482
2016-03-11,2.825
2016-03-14,2.7994
2016-03-15,2.7992
2016-03-16,2.8065
2016-03-17,2.8052
2016-03-18,2.7916
2016-03-21,2.786
2016-03-22,2.7934
2016-03-23,2.7803
2016-03-24,2.7918
2016-03-25,2.7833
2016-03-29,2.7796
2016-03-30,2.7763
2016-03-31,2.7914
2016-04-01,2.7574
2016-04-04,2.7549
2016-04-05,2.7535
2016-04-06,2.7659
2016-04-07,2.7733
2016-04-08,2.7946
2016-04-11,2.7934
2016-04-12,2.7875
2016-04-13,2.8013
2016-04-14,2.7993
2016-04-15,2.8082
2016-04-18,2.8045
2016-04-19,2.8199
2016-04-20,2.825
2016-04-21,2.8203
2016-04-22,2.8448
2016-04-25,2.8793
2016-04-26,2.8811
2016-04-27,2.8751
2016-04-28,2.88
2016-04-29,2.8834
2016-05-02,2.8433
2016-05-04,2.8253
2016-05-05,2.8352
2016-05-06,2.8503
2016-05-09,2.8386
2016-05-10,2.8411
2016-05-11,2.8353
2016-05-12,2.8338
2016-05-13,2.8292
2016-05-16,2.8219
2016-05-17,2.8134
2016-05-18,2.8327
2016-05-19,2.8415
2016-05-20,2.8503
2016-05-23,2.8638
2016-05-24,2.8771
2016-05-25,2.8755
2016-05-27,2.8656
2016-05-30,2.8576
2016-05-31,2.8512
2016-06-01,2.8547
2016-06-01,2.8547
2016-06-02,2.8498
2016-06-03,2.8626
2016-06-06,2.8394
2016-06-07,2.8307
2016-06-08,2.82
2016-06-09,2.8224
2016-06-10,2.8419
2016-06-13,2.8692
2016-06-14,2.9121
2016-06-15,2.9048
2016-06-16,2.9211
2016-06-17,2.9189
2016-06-20,2.8851
2016-06-21,2.8919
2016-06-22,2.9018
2016-06-23,2.8867
2016-06-24,2.9522
2016-06-27,2.9684
2016-06-28,2.9532
2016-06-29,2.9583
2016-06-30,2.9498
2016-07-01,2.9413
2016-07-04,2.9642
2016-07-05,2.9575
2016-07-06,2.9701
2016-07-07,2.9728
2016-07-08,2.9664
2016-07-11,2.968
2016-07-12,2.9525
2016-07-13,2.953
2016-07-14,2.9465
2016-07-15,2.9459
2016-07-18,2.9563
2016-07-19,2.9289
2016-07-20,2.9291
2016-07-21,2.9285
2016-07-22,2.9137
2016-07-25,2.9165
2016-07-26,2.9246
2016-07-27,2.9279
2016-07-28,2.9175
2016-07-29,2.9124
2016-08-01,2.9158
2016-08-02,2.8943
2016-08-03,2.8718
2016-08-04,2.8727
2016-08-05,2.8744
2016-08-08,2.8721
2016-08-09,2.8556
2016-08-10,2.8504
2016-08-11,2.8498
2016-08-12,2.838
2016-08-16,2.8298
2016-08-17,2.832
2016-08-18,2.822
2016-08-19,2.8154
2016-08-22,2.8179
2016-08-23,2.8205
2016-08-24,2.823
2016-08-25,2.8225
2016-08-26,2.8328
2016-08-29,2.8502
2016-08-30,2.852
2016-08-31,2.8674
2016-09-01,2.8675
2016-09-02,2.8795
2016-09-05,2.869
2016-09-06,2.8643
2016-09-07,2.8575
2016-09-08,2.842
2016-09-09,2.8344
2016-09-12,2.8386
2016-09-13,2.8492
2016-09-14,2.8358
2016-09-15,2.8216
2016-09-16,2.8232
2016-09-19,2.8283
2016-09-20,2.8218
2016-09-21,2.836
2016-09-22,2.8161
2016-09-23,2.8193
2016-09-26,2.8142
