effectiveDate,mid
2015-01-02,0.1084
2015-01-05,0.1091
2015-01-07,0.1105
2015-01-08,0.1109
2015-01-09,0.1102
2015-01-12,0.1101
2015-01-13,0.1103
2015-01-14,0.1113
2015-01-15,0.1117
2015-01-16,0.1138
2015-01-19,0.114
2015-01-20,0.1141
2015-01-21,0.1146
2015-01-22,0.1135
2015-01-23,0.1156
2015-01-26,0.1154
2015-01-27,0.1148
2015-01-28,0.1145
2015-01-29,0.1144
2015-01-30,0.1136
2015-02-02,0.1129
2015-02-03,0.113
2015-02-04,0.1117
2015-02-05,0.1123
2015-02-06,0.1119
2015-02-09,0.1128
2015-02-10,0.1142
2015-02-11,0.1136
2015-02-12,0.1129
2015-02-13,0.112
2015-02-16,0.1125
2015-02-17,0.113
2015-02-18,0.1129
2015-02-19,0.1126
2015-02-20,0.1133
2015-02-23,0.1133
2015-02-24,0.1134
2015-02-25,0.1127
2015-02-26,0.113
2015-02-27,0.1144
2015-03-02,0.1146
2015-03-03,0.115
2015-03-04,0.1157
2015-03-05,0.1157
2015-03-06,0.1161
2015-03-09,0.1163
2015-03-10,0.1172
2015-03-11,0.1187
2015-03-12,0.1186
2015-03-13,0.1189
2015-03-16,0.1192
2015-03-17,0.1186
2015-03-18,0.1187
2015-03-19,0.1178
2015-03-20,0.118
2015-03-23,0.1173
2015-03-24,0.1152
2015-03-25,0.1147
2015-03-26,0.1139
2015-03-27,0.1162
2015-03-30,0.1157
2015-03-31,0.1171
2015-04-01,0.1164
2015-04-02,0.1156
2015-04-03,0.1153
2015-04-07,0.1149
2015-04-08,0.1141
2015-04-09,0.1149
2015-04-10,0.1164
2015-04-13,0.1167
2015-04-14,0.1169
2015-04-15,0.1168
2015-04-16,0.1164
2015-04-17,0.1151
2015-04-20,0.1152
2015-04-21,0.1151
2015-04-22,0.1148
2015-04-23,0.1152
2015-04-24,0.1134
2015-04-27,0.1136
2015-04-28,0.1126
2015-04-29,0.1109
2015-04-30,0.1092
2015-05-04,0.109
2015-05-05,0.1084
2015-05-06,0.1086
2015-05-07,0.1067
2015-05-08,0.1077
2015-05-11,0.1084
2015-05-12,0.1076
2015-05-13,0.1081
2015-05-14,0.1072
2015-05-15,0.1065
2015-05-18,0.1067
2015-05-19,0.1082
2015-05-20,0.1088
2015-05-21,0.1095
2015-05-22,0.11
2015-05-25,0.1118
2015-05-26,0.1122
2015-05-27,0.1123
2015-05-28,0.1122
2015-05-29,0.1119
2015-06-01,0.1124
2015-06-01,0.1124
2015-06-02,0.1115
2015-06-03,0.1102
2015-06-05,0.1096
2015-06-08,0.1104
2015-06-09,0.1095
2015-06-10,0.1092
2015-06-11,0.1092
2015-06-12,0.1099
2015-06-15,0.1095
2015-06-16,0.1097
2015-06-17,0.1094
2015-06-18,0.1087
2015-06-19,0.1095
2015-06-22,0.1094
2015-06-23,0.1098
2015-06-24,0.1099
2015-06-25,0.1105
2015-06-26,0.1104
2015-06-29,0.1114
2015-06-30,0.1115
2015-07-01,0.1115
2015-07-02,0.112
2015-07-03,0.1117
2015-07-06,0.1122
2015-07-07,0.1128
2015-07-08,0.1123
2015-07-09,0.1128
2015-07-10,0.1111
2015-07-13,0.1104
2015-07-14,0.1106
2015-07-15,0.11
2015-07-16,0.1102
2015-07-17,0.1103
2015-07-20,0.1101
2015-07-21,0.1098
2015-07-22,0.1087
2015-07-23,0.1082
2015-07-24,0.1077
2015-07-27,0.1075
2015-07-28,0.1069
2015-07-29,0.1072
2015-07-30,0.1076
2015-07-31,0.1076
2015-08-03,0.1075
2015-08-04,0.1079
2015-08-05,0.1092
2015-08-06,0.1091
2015-08-07,0.109
2015-08-10,0.1088
2015-08-11,0.1078
2015-08-12,0.1069
2015-08-13,0.1069
