effectiveDate,mid
2015-01-02,1.5225
2015-01-05,1.5383
2015-01-07,1.5619
2015-01-08,1.579
2015-01-09,1.5738
2015-01-12,1.5828
2015-01-13,1.5891
2015-01-14,1.5916
2015-01-15,1.6118
2015-01-16,1.6109
2015-01-19,1.5886
2015-01-20,1.5938
2015-01-21,1.5939
2015-01-22,1.5713
2015-01-23,1.6162
2015-01-26,1.5905
2015-01-27,1.5864
2015-01-28,1.579
2015-01-29,1.5623
2015-01-30,1.5393
2015-02-02,1.5149
2015-02-03,1.5214
2015-02-04,1.5113
2015-02-05,1.5024
2015-02-06,1.4933
2015-02-09,1.4764
2015-02-10,1.5
2015-02-11,1.4922
2015-02-12,1.4847
2015-02-13,1.4816
2015-02-16,1.4918
2015-02-17,1.5011
2015-02-18,1.4925
2015-02-19,1.5007
2015-02-20,1.5028
2015-02-23,1.4894
2015-02-24,1.4897
2015-02-25,1.4888
2015-02-26,1.474
2015-02-27,1.4717
2015-03-02,1.4747
2015-03-03,1.479
2015-03-04,1.473
2015-03-05,1.4502
2015-03-06,1.4454
2015-03-09,1.4613
2015-03-10,1.4578
2015-03-11,1.4895
2015-03-12,1.5031
2015-03-13,1.5036
2015-03-16,1.4974
2015-03-17,1.4911
2015-03-18,1.4907
2015-03-19,1.4898
2015-03-20,1.4861
2015-03-23,1.4811
2015-03-24,1.4696
2015-03-25,1.4606
2015-03-26,1.4268
2015-03-27,1.4485
2015-03-30,1.4424
2015-03-31,1.4571
2015-04-01,1.4506
2015-04-02,1.4461
2015-04-03,1.443
2015-04-07,1.4473
2015-04-08,1.4346
2015-04-09,1.44
2015-04-10,1.4417
2015-04-13,1.4346
2015-04-14,1.4183
2015-04-15,1.402
2015-04-16,1.3918
2015-04-17,1.3866
2015-04-20,1.3851
2015-04-21,1.377
2015-04-22,1.3832
2015-04-23,1.3684
2015-04-24,1.3529
2015-04-27,1.36
2015-04-28,1.368
2015-04-29,1.3663
2015-04-30,1.3519
2015-05-04,1.3397
2015-05-05,1.3361
2015-05-06,1.3345
2015-05-07,1.3227
2015-05-08,1.3443
