effectiveDate,mid
2015-01-02,3.5725
2015-01-05,3.5975
2015-01-07,3.6375
2015-01-08,3.6482
2015-01-09,3.6252
2015-01-12,3.6218
2015-01-13,3.6252
2015-01-14,3.6525
2015-01-15,3.6588
2015-01-16,3.7174
2015-01-19,3.7176
2015-01-20,3.7346
2015-01-21,3.7358
2015-01-22,3.6994
2015-01-23,3.7687
2015-01-26,3.7601
2015-01-27,3.7348
2015-01-28,3.7276
2015-01-29,3.7418
2015-01-30,3.7204
2015-02-02,3.6801
2015-02-03,3.6886
2015-02-04,3.644
2015-02-05,3.6656
2015-02-06,3.6395
2015-02-09,3.6811
2015-02-10,3.722
2015-02-11,3.7094
2015-02-12,3.6926
2015-02-13,3.6552
2015-02-16,3.6665
2015-02-17,3.6788
2015-02-18,3.6784
2015-02-19,3.6631
2015-02-20,3.6895
2015-02-23,3.6933
2015-02-24,3.6948
2015-02-25,3.6649
2015-02-26,3.6519
2015-02-27,3.698
2015-03-02,3.7053
2015-03-03,3.719
2015-03-04,3.7485
2015-03-05,3.7525
2015-03-06,3.7649
2015-03-09,3.789
2015-03-10,3.8345
2015-03-11,3.9091
2015-03-12,3.8928
2015-03-13,3.9141
2015-03-16,3.926
2015-03-17,3.9034
2015-03-18,3.9073
2015-03-19,3.8596
2015-03-20,3.8645
2015-03-23,3.818
2015-03-24,3.7453
2015-03-25,3.7355
2015-03-26,3.705
2015-03-27,3.789
2015-03-30,3.7685
2015-03-31,3.8125
2015-04-01,3.789
2015-04-02,3.7524
2015-04-03,3.7449
2015-04-07,3.7435
2015-04-08,3.7135
2015-04-09,3.7414
2015-04-10,3.7894
2015-04-13,3.8088
2015-04-14,3.8001
2015-04-15,3.7875
2015-04-16,3.7746
2015-04-17,3.7277
2015-04-20,3.7302
2015-04-21,3.7275
2015-04-22,3.7125
2015-04-23,3.7371
2015-04-24,3.6895
2015-04-27,3.7115
2015-04-28,3.6751
2015-04-29,3.6396
2015-04-30,3.5987
2015-05-04,3.632
2015-05-05,3.6205
2015-05-06,3.6116
2015-05-07,3.583
2015-05-08,3.6095
2015-05-11,3.6489
2015-05-12,3.6447
2015-05-13,3.63
2015-05-14,3.5921
2015-05-15,3.5719
2015-05-18,3.555
2015-05-19,3.6152
2015-05-20,3.6538
2015-05-21,3.6605
2015-05-22,3.669
2015-05-25,3.75
2015-05-26,3.7898
2015-05-27,3.7906
2015-05-28,3.7858
2015-05-29,3.7671
2015-06-01,3.785
2015-06-01,3.785
2015-06-02,3.7676
2015-06-03,3.7108
2015-06-05,3.6949
2015-06-08,3.7381
2015-06-09,3.6975
2015-06-10,3.676
2015-06-11,3.6817
2015-06-12,3.7094
2015-06-15,3.6905
2015-06-16,3.6933
2015-06-17,3.6873
2015-06-18,3.6556
2015-06-19,3.6879
2015-06-22,3.6799
2015-06-23,3.704
2015-06-24,3.7103
2015-06-25,3.7305
2015-06-26,3.7275
2015-06-29,3.7671
2015-06-30,3.7645
2015-07-01,3.7625
2015-07-02,3.7859
2015-07-03,3.7726
2015-07-06,3.796
2015-07-07,3.8313
2015-07-08,3.8225
2015-07-09,3.829
2015-07-10,3.7709
2015-07-13,3.7543
2015-07-14,3.7645
2015-07-15,3.747
2015-07-16,3.7694
2015-07-17,3.7676
2015-07-20,3.7868
2015-07-21,3.7875
2015-07-22,3.7629
2015-07-23,3.7559
2015-07-24,3.7654
2015-07-27,3.7455
2015-07-28,3.7303
2015-07-29,3.7471
2015-07-30,3.7754
2015-07-31,3.7929
2015-08-03,3.7705
2015-08-04,3.7792
2015-08-05,3.8359
2015-08-06,3.8385
2015-08-07,3.8326
2015-08-10,3.8246
2015-08-11,3.8087
2015-08-12,3.7805
2015-08-13,3.7625
2015-08-14,3.7557
2015-08-17,3.7613
2015-08-18,3.7578
2015-08-19,3.7718
2015-08-20,3.7659
2015-08-21,3.7308
2015-08-24,3.6971
2015-08-25,3.6613
2015-08-26,3.6937
2015-08-27,3.745
2015-08-28,3.7493
2015-08-31,3.778
2015-09-01,3.7503
2015-09-02,3.7626
2015-09-03,3.7645
2015-09-04,3.7952
2015-09-07,3.7928
2015-09-08,3.7878
2015-09-09,3.7634
2015-09-10,3.7648
2015-09-11,3.7264
2015-09-14,3.7124
2015-09-15,3.7238
2015-09-16,3.7315
2015-09-17,3.7129
2015-09-18,3.6738
2015-09-21,3.708
2015-09-22,3.7438
2015-09-23,3.7801
2015-09-24,3.7687
2015-09-25,3.7818
2015-09-28,3.7861
2015-09-29,3.7799
2015-09-30,3.7754
2015-10-01,3.8005
2015-10-02,3.8028
2015-10-05,3.773
2015-10-06,3.789
2015-10-07,3.7604
2015-10-08,3.7543
2015-10-09,3.7242
2015-10-12,3.7148
2015-10-13,3.7199
2015-10-14,3.7129
2015-10-15,3.6948
2015-10-16,3.7243
2015-10-19,3.7265
2015-10-20,3.7385
2015-10-21,3.7627
2015-10-22,3.7806
2015-10-23,3.82
2015-10-26,3.8645
2015-10-27,3.8669
2015-10-28,3.8826
2015-10-29,3.8974
2015-10-30,3.8748
2015-11-02,3.859
2015-11-03,3.8678
2015-11-04,3.8876
2015-11-05,3.8925
2015-11-06,3.9075
2015-11-09,3.9605
2015-11-10,3.957
2015-11-12,3.9434
2015-11-13,3.9388
2015-11-16,3.9581
2015-11-17,3.9775
2015-11-18,3.9802
2015-11-19,3.9754
2015-11-20,3.9706
2015-11-23,3.988
2015-11-24,4.0021
2015-11-25,4.0215
2015-11-26,4.0298
2015-11-27,4.0333
2015-11-30,4.0304
2015-12-01,4.0248
2015-12-02,4.0305
2015-12-03,4.04
2015-12-04,3.9607
2015-12-07,3.9853
2015-12-08,3.9877
2015-12-09,3.9705
2015-12-10,3.9601
2015-12-11,3.9718
2015-12-14,3.9695
2015-12-15,3.9523
2015-12-16,3.9644
2015-12-17,3.9646
2015-12-18,3.9558
2015-12-21,3.92
2015-12-22,3.8787
2015-12-23,3.8872
2015-12-24,3.8695
2015-12-28,3.8663
2015-12-29,3.8659
2015-12-30,3.8801
2015-12-31,3.9011
2016-01-04,3.9281
2016-01-05,4.0073
2016-01-07,4.0085
2016-01-08,3.9963
2016-01-11,4.0085
2016-01-12,4.017
2016-01-13,4.0068
2016-01-14,3.999
2016-01-15,4.0411
2016-01-18,4.1133
2016-01-19,4.0917
2016-01-20,4.0877
2016-01-21,4.1303
2016-01-22,4.1031
2016-01-25,4.1346
2016-01-26,4.1475
2016-01-27,4.1144
2016-01-28,4.0872
2016-01-29,4.0723
2016-02-01,4.0638
2016-02-02,4.0333
2016-02-03,4.0325
2016-02-04,3.9492
2016-02-05,3.942
2016-02-08,3.9525
2016-02-09,3.9771
2016-02-10,3.9383
2016-02-11,3.9219
2016-02-12,3.9074
2016-02-15,3.922
2016-02-16,3.9404
2016-02-17,3.9431
2016-02-18,3.9416
2016-02-19,3.9531
2016-02-22,3.9391
2016-02-23,3.9671
2016-02-24,3.9803
2016-02-25,3.9705
2016-02-26,3.9545
2016-02-29,3.9935
2016-03-01,3.9924
2016-03-02,3.9861
2016-03-03,3.9805
2016-03-04,3.9545
2016-03-07,3.9515
2016-03-08,3.9333
2016-03-09,3.9395
2016-03-10,3.932
2016-03-11,3.8903
2016-03-14,3.847
2016-03-15,3.8649
2016-03-16,3.8749
2016-03-17,3.8037
2016-03-18,3.7882
2016-03-21,3.7838
2016-03-22,3.8005
2016-03-23,3.801
2016-03-24,3.824
2016-03-25,3.8174
2016-03-29,3.8037
2016-03-30,3.7495
2016-03-31,3.759
2016-04-01,3.7193
2016-04-04,3.7254
2016-04-05,3.7337
2016-04-06,3.751
2016-04-07,3.7414
2016-04-08,3.7701
2016-04-11,3.7587
2016-04-12,3.749
2016-04-13,3.7771
2016-04-14,3.8174
2016-04-15,3.8176
2016-04-18,3.801
2016-04-19,3.7925
2016-04-20,3.7842
2016-04-21,3.7981
2016-04-22,3.8399
2016-04-25,3.8962
2016-04-26,3.8935
2016-04-27,3.8793
2016-04-28,3.8695
2016-04-29,3.8738
2016-05-02,3.8195
2016-05-04,3.83
2016-05-05,3.8475
2016-05-06,3.8732
2016-05-09,3.873
2016-05-10,3.8853
2016-05-11,3.8855
2016-05-12,3.8811
2016-05-13,3.8775
2016-05-16,3.8625
2016-05-17,3.8508
2016-05-18,3.9005
2016-05-19,3.9161
2016-05-20,3.9358
2016-05-23,3.9513
2016-05-24,3.9789
2016-05-25,3.9684
2016-05-27,3.9393
2016-05-30,3.947
2016-05-31,3.9369
2016-06-01,3.935
2016-06-01,3.935
2016-06-02,3.9204
2016-06-03,3.9384
2016-06-06,3.8602
2016-06-07,3.8298
2016-06-08,3.815
2016-06-09,3.8126
2016-06-10,3.8545
2016-06-13,3.8943
2016-06-14,3.9483
2016-06-15,3.9351
2016-06-16,3.9469
2016-06-17,3.9412
2016-06-20,3.8724
2016-06-21,3.8741
2016-06-22,3.8945
2016-06-23,3.8593
2016-06-24,3.9994
2016-06-27,4.0263
2016-06-28,4.003
2016-06-29,3.9905
2016-06-30,3.9803
2016-07-01,3.9548
2016-07-04,3.9886
2016-07-05,3.9963
2016-07-06,4.0225
2016-07-07,4.0036
2016-07-08,4.0001
2016-07-11,4.006
2016-07-12,3.9807
2016-07-13,3.9809
2016-07-14,3.9681
2016-07-15,3.9598
2016-07-18,3.9853
2016-07-19,3.9582
2016-07-20,3.979
2016-07-21,3.9685
2016-07-22,3.9504
2016-07-25,3.9697
2016-07-26,3.9682
2016-07-27,3.9739
2016-07-28,3.9389
2016-07-29,3.9364
2016-08-01,3.904
2016-08-02,3.882
2016-08-03,3.8516
2016-08-04,3.8588
2016-08-05,3.8542
2016-08-08,3.8706
2016-08-09,3.8482
2016-08-10,3.825
2016-08-11,3.8297
2016-08-12,3.8219
2016-08-16,3.7929
2016-08-17,3.8075
2016-08-18,3.7826
2016-08-19,3.7905
2016-08-22,3.809
2016-08-23,3.8061
2016-08-24,3.8174
2016-08-25,3.819
2016-08-26,3.8328
2016-08-29,3.8789
2016-08-30,3.8858
2016-08-31,3.9082
2016-09-01,3.9116
2016-09-02,3.9164
2016-09-05,3.8937
2016-09-06,3.8869
2016-09-07,3.8515
2016-09-08,3.8255
2016-09-09,3.8385
2016-09-12,3.8668
2016-09-13,3.8734
2016-09-14,3.8716
2016-09-15,3.8587
2016-09-16,3.8497
2016-09-19,3.8586
2016-09-20,3.8438
2016-09-21,3.8601
2016-09-22,3.8128
2016-09-23,3.8328
2016-09-26,3.8324
2016-09-27,3.8227
2016-09-28,3.8264
2016-09-29,3.8354
2016-09-30,3.8558
2016-10-03,3.8252
2016-10-04,3.8472
2016-10-05,3.8307
2016-10-06,3.8405
2016-10-07,3.8505
2016-10-10,3.8307
2016-10-11,3.8487
2016-10-12,3.8851
2016-10-13,3.9164
2016-10-14,3.8965
2016-10-17,3.9265
2016-10-18,3.9148
2016-10-19,3.9285
2016-10-20,3.9359
2016-10-21,3.98
2016-10-24,3.969
2016-10-25,3.9543
2016-10-26,3.9517
2016-10-27,3.976
2016-10-28,3.9696
2016-10-31,3.9488
2016-11-02,3.8954
2016-11-03,3.8965
2016-11-04,3.8862
2016-11-07,3.9132
2016-11-08,3.9169
2016-11-09,3.9305
2016-11-10,3.9856
2016-11-14,4.0805
2016-11-15,4.0837
2016-11-16,4.138
2016-11-17,4.1375
2016-11-18,4.1968
2016-11-21,4.1748
2016-11-22,4.1507
2016-11-23,4.1588
2016-11-24,4.188
2016-11-25,4.1628
2016-11-28,4.1521
2016-11-29,4.1827
2016-11-30,4.1721
2016-12-01,4.1987
2016-12-02,4.215
2016-12-05,4.2213
2016-12-06,4.1825
2016-12-07,4.1268
2016-12-08,4.1107
2016-12-09,4.1772
2016-12-12,4.209
2016-12-13,4.1905
2016-12-14,4.1768
2016-12-15,4.2329
2016-12-16,4.2296
2016-12-19,4.2255
2016-12-20,4.2493
2016-12-21,4.2484
2016-12-22,4.2222
2016-12-23,4.2199
2016-12-27,4.212
2016-12-28,4.226
2016-12-29,4.2161
2016-12-30,4.1793
2017-01-02,4.2106
2017-01-03,4.2271
2017-01-04,4.2037
2017-01-05,4.1667
2017-01-09,4.1592
2017-01-10,4.127
2017-01-11,4.1465
2017-01-12,4.1103
2017-01-13,4.1084
2017-01-16,4.1354
2017-01-17,4.0989
2017-01-18,4.087
2017-01-19,4.1014
2017-01-20,4.1005
2017-01-23,4.076
2017-01-24,4.0708
2017-01-25,4.0585
2017-01-26,4.059
2017-01-27,4.0595
2017-01-30,4.0472
2017-01-31,4.0446
2017-02-01,4.0071
2017-02-02,3.9835
2017-02-03,4.0014
2017-02-06,3.9892
2017-02-07,4.028
2017-02-08,4.0521
2017-02-09,4.0332
2017-02-10,4.0435
2017-02-13,4.0496
2017-02-14,4.0525
2017-02-15,4.0752
