effectiveDate,mid
2015-01-02,0.3062
2015-01-05,0.3081
2015-01-07,0.3103
2015-01-08,0.3129
2015-01-09,0.3122
2015-01-12,0.315
2015-01-13,0.3151
2015-01-14,0.3158
2015-01-15,0.3194
2015-01-16,0.3218
2015-01-19,0.3206
2015-01-20,0.321
2015-01-21,0.3223
2015-01-22,0.3207
2015-01-23,0.3301
2015-01-26,0.3286
2015-01-27,0.3234
2015-01-28,0.3229
2015-01-29,0.3229
2015-01-30,0.3206
2015-02-02,0.3171
2015-02-03,0.3207
2015-02-04,0.3194
2015-02-05,0.3215
2015-02-06,0.3219
2015-02-09,0.318
2015-02-10,0.3214
2015-02-11,0.3158
2015-02-12,0.3136
2015-02-13,0.3118
2015-02-16,0.315
2015-02-17,0.316
2015-02-18,0.3142
2015-02-19,0.3164
2015-02-20,0.3169
2015-02-23,0.3148
2015-02-24,0.3171
2015-02-25,0.3206
2015-02-26,0.3213
2015-02-27,0.3202
2015-03-02,0.3165
2015-03-03,0.3173
2015-03-04,0.3182
2015-03-05,0.318
2015-03-06,0.3192
2015-03-09,0.3152
2015-03-10,0.3134
2015-03-11,0.3169
2015-03-12,0.3201
2015-03-13,0.3157
2015-03-16,0.3163
2015-03-17,0.3154
2015-03-18,0.3156
2015-03-19,0.317
2015-03-20,0.3144
2015-03-23,0.3162
2015-03-24,0.3152
2015-03-25,0.3169
2015-03-26,0.3113
2015-03-27,0.3152
2015-03-30,0.3121
2015-03-31,0.3123
2015-04-01,0.3126
2015-04-02,0.3133
2015-04-03,0.313
2015-04-07,0.3156
2015-04-08,0.3146
2015-04-09,0.3158
2015-04-10,0.3157
2015-04-13,0.313
2015-04-14,0.313
2015-04-15,0.3128
2015-04-16,0.3124
2015-04-17,0.3113
2015-04-20,0.3105
2015-04-21,0.3066
2015-04-22,0.3067
2015-04-23,0.3043
2015-04-24,0.3031
2015-04-27,0.306
2015-04-28,0.307
2015-04-29,0.3072
2015-04-30,0.3046
2015-05-04,0.3018
2015-05-05,0.3007
2015-05-06,0.3003
2015-05-07,0.2963
2015-05-08,0.3003
2015-05-11,0.3044
2015-05-12,0.3008
2015-05-13,0.3035
2015-05-14,0.3021
2015-05-15,0.3028
2015-05-18,0.3007
2015-05-19,0.3052
2015-05-20,0.306
2015-05-21,0.3102
2015-05-22,0.311
2015-05-25,0.3138
2015-05-26,0.3158
2015-05-27,0.3147
2015-05-28,0.3141
2015-05-29,0.3101
2015-06-01,0.3086
2015-06-01,0.3086
2015-06-02,0.3063
2015-06-03,0.3027
2015-06-05,0.2972
2015-06-08,0.2967
2015-06-09,0.2955
2015-06-10,0.2975
2015-06-11,0.2965
2015-06-12,0.2982
2015-06-15,0.2976
2015-06-16,0.2967
2015-06-17,0.2965
2015-06-18,0.3001
2015-06-19,0.3003
2015-06-22,0.3027
2015-06-23,0.3051
2015-06-24,0.3054
2015-06-25,0.3078
2015-06-26,0.3072
2015-06-29,0.3071
2015-06-30,0.3074
2015-07-01,0.3094
2015-07-02,0.3069
2015-07-03,0.307
2015-07-06,0.3057
2015-07-07,0.3069
2015-07-08,0.3052
2015-07-09,0.306
2015-07-10,0.3039
2015-07-13,0.3012
2015-07-14,0.3032
2015-07-15,0.3029
2015-07-16,0.3037
2015-07-17,0.3057
2015-07-20,0.3045
2015-07-21,0.3052
2015-07-22,0.3045
2015-07-23,0.3022
2015-07-24,0.3017
2015-07-27,0.2971
2015-07-28,0.2966
2015-07-29,0.2982
2015-07-30,0.2989
2015-07-31,0.2976
2015-08-03,0.2967
2015-08-04,0.2992
2015-08-05,0.3007
2015-08-06,0.3004
2015-08-07,0.3014
2015-08-10,0.3012
2015-08-11,0.2994
2015-08-12,0.2947
2015-08-13,0.2945
2015-08-14,0.2931
2015-08-17,0.2923
2015-08-18,0.291
2015-08-19,0.2931
2015-08-20,0.2898
2015-08-21,0.2889
2015-08-24,0.28
2015-08-25,0.2791
2015-08-26,0.2811
2015-08-27,0.2873
2015-08-28,0.2844
2015-08-31,0.2831
2015-09-01,0.2812
2015-09-02,0.2791
2015-09-03,0.2788
2015-09-04,0.2778
2015-09-07,0.2723
2015-09-08,0.2727
